LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 1,2019,1,07:00 AM-08:00 AM,2.28,1.76,0.68,0.42,1.24,1.42,0.5
Link 1,2019,1,08:00 AM-09:00 AM,2.16,1.7,0.57,0.36,1.25,2.09,0.55
Link 1,2019,1,09:00 AM-10:00 AM,2.37,1.86,0.76,0.47,1.26,2.17,0.58
Link 1,2019,1,10:00 AM-11:00 AM,2.28,1.84,0.72,0.46,1.26,1.8,0.56
Link 1,2019,1,11:00 AM-12:00 PM,2.39,1.79,0.64,0.37,1.31,1.73,0.53
Link 1,2019,1,12:00 PM-01:00 PM,2.41,1.84,0.66,0.38,1.34,1.55,0.58
Link 1,2019,1,01:00 PM-02:00 PM,2.37,1.77,0.63,0.37,1.3,1.24,0.55
Link 1,2019,1,02:00 PM-03:00 PM,2.53,1.93,0.74,0.42,1.36,1.5,0.64
Link 1,2019,1,03:00 PM-04:00 PM,2.62,2.0,0.82,0.45,1.37,1.44,0.67
Link 1,2019,1,04:00 PM-05:00 PM,2.3,1.76,0.6,0.36,1.29,1.67,0.59
Link 1,2019,1,05:00 PM-06:00 PM,2.45,1.89,0.77,0.46,1.3,1.59,0.58
Link 1,2019,1,06:00 PM-07:00 PM,2.36,1.83,0.69,0.41,1.3,1.88,0.59
Link 1,2019,1,07:00 PM-08:00 PM,2.32,1.8,0.67,0.41,1.28,1.5,0.58
Link 1,2019,1,08:00 PM-09:00 PM,2.43,1.91,0.81,0.5,1.27,2.54,0.61
Link 1,2019,1,09:00 PM-10:00 PM,2.23,1.7,0.6,0.37,1.24,2.0,0.52
Link 1,2019,1,10:00 PM-11:00 PM,2.59,2.01,0.9,0.53,1.31,2.09,0.63
Link 1,2019,1,11:00 PM-12:00 AM,2.29,1.78,0.68,0.43,1.25,2.1,0.53
Link 1,2019,1,12:00 AM-01:00 AM,2.16,1.65,0.55,0.34,1.23,2.26,0.52
Link 1,2019,1,02:00 AM-03:00 AM,2.36,1.86,0.85,0.56,1.19,2.59,0.4
Link 1,2019,1,03:00 AM-04:00 AM,1.92,1.57,0.46,0.32,1.19,1.05,0.38
Link 2,2017,1,01:00 AM-02:00 AM,2.41,1.87,0.7,0.41,1.33,2.26,0.74
Link 2,2017,1,02:00 AM-03:00 AM,1.9,1.44,0.34,0.22,1.18,0.9,0.38
Link 2,2017,1,03:00 AM-04:00 AM,3.51,2.62,1.68,0.92,1.36,3.04,0.79
Link 2,2017,1,04:00 AM-05:00 AM,2.79,2.13,1.11,0.66,1.28,2.71,0.62
Link 2,2017,1,09:00 AM-10:00 AM,3.31,2.53,1.29,0.64,1.54,2.84,0.85
Link 2,2017,1,10:00 AM-11:00 AM,4.49,3.35,2.33,1.08,1.61,4.76,1.39
Link 2,2017,1,11:00 AM-12:00 PM,4.83,3.83,2.74,1.31,1.66,5.33,1.54
Link 2,2017,1,12:00 PM-01:00 PM,7.53,5.62,4.89,1.86,1.96,4.85,1.31
Link 2,2017,1,01:00 PM-02:00 PM,3.31,2.59,1.14,0.53,1.69,2.18,0.81
Link 2,2017,1,03:00 PM-04:00 PM,2.9,2.21,1.09,0.6,1.38,2.41,0.77
Link 2,2017,1,06:00 PM-07:00 PM,7.85,5.51,5.29,2.07,1.79,3.49,1.08
Link 2,2017,1,07:00 PM-08:00 PM,3.12,2.33,1.23,0.65,1.41,3.89,0.98
Link 2,2017,1,10:00 PM-11:00 PM,2.62,1.96,0.84,0.47,1.33,2.94,0.75
Link 2,2017,1,07:00 AM-08:00 AM,2.65,1.98,0.74,0.39,1.43,2.38,0.65
Link 2,2017,1,04:00 PM-05:00 PM,3.7,2.89,1.74,0.88,1.53,5.53,1.11
Link 2,2017,1,05:00 PM-06:00 PM,2.85,2.08,0.99,0.54,1.35,2.03,0.63
Link 2,2017,1,08:00 PM-09:00 PM,4.49,3.28,2.22,0.98,1.66,3.05,1.21
Link 2,2017,1,09:00 PM-10:00 PM,2.29,1.71,0.53,0.3,1.31,1.45,0.53
