LinkName,Date,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 1,01/01/2017,2017,1,12:00 AM-01:00 AM,1.35,1.0,0.0,0.0,1.0,inf,0.0
Link 1,01/01/2017,2017,1,01:00 AM-02:00 AM,1.9,1.18,0.17,0.1,1.08,1.0,0.17
Link 1,01/01/2017,2017,1,02:00 AM-03:00 AM,1.64,1.26,0.19,0.13,1.11,1.0,0.23
Link 1,01/01/2017,2017,1,03:00 AM-04:00 AM,1.84,1.18,0.17,0.1,1.07,9.67,0.16
Link 1,01/01/2017,2017,1,04:00 AM-05:00 AM,1.56,1.17,0.13,0.09,1.07,0.88,0.16
Link 1,01/01/2017,2017,1,05:00 AM-06:00 AM,1.57,1.09,0.07,0.05,1.04,0.73,0.09
Link 1,01/01/2017,2017,1,06:00 AM-07:00 AM,2.08,1.34,0.34,0.19,1.13,2.95,0.29
Link 1,01/01/2017,2017,1,07:00 AM-08:00 AM,3.79,3.04,1.77,0.88,1.62,5.19,1.34
Link 1,01/01/2017,2017,1,08:00 AM-09:00 AM,2.05,1.38,0.33,0.19,1.16,1.3,0.34
Link 1,01/01/2017,2017,1,09:00 AM-10:00 AM,1.64,1.22,0.17,0.11,1.09,1.25,0.2
Link 1,01/01/2017,2017,1,10:00 AM-11:00 AM,1.94,1.2,0.19,0.11,1.08,1.24,0.19
Link 1,01/01/2017,2017,1,11:00 AM-12:00 PM,1.29,1.06,0.05,0.04,1.02,1.2,0.06
Link 1,01/01/2017,2017,1,12:00 PM-01:00 PM,3.36,2.4,1.21,0.57,1.53,3.41,0.94
Link 1,01/01/2017,2017,1,01:00 PM-02:00 PM,1.92,1.43,0.34,0.22,1.18,3.56,0.37
Link 1,01/01/2017,2017,1,02:00 PM-03:00 PM,2.32,1.54,0.5,0.27,1.21,1.11,0.4
Link 1,01/01/2017,2017,1,03:00 PM-04:00 PM,1.86,1.24,0.19,0.12,1.11,1.0,0.21
Link 1,01/01/2017,2017,1,04:00 PM-05:00 PM,2.01,1.26,0.2,0.11,1.13,0.22,0.23
Link 1,01/01/2017,2017,1,05:00 PM-06:00 PM,1.54,1.26,0.17,0.12,1.12,0.86,0.24
Link 1,01/01/2017,2017,1,06:00 PM-07:00 PM,3.44,2.48,1.46,0.74,1.42,3.91,0.89
Link 1,01/01/2017,2017,1,07:00 PM-08:00 PM,2.24,1.48,0.42,0.23,1.2,1.2,0.35
Link 1,01/01/2017,2017,1,08:00 PM-09:00 PM,2.07,1.41,0.38,0.23,1.15,1.98,0.35
Link 1,01/01/2017,2017,1,09:00 PM-10:00 PM,1.89,1.25,0.21,0.13,1.11,0.62,0.23
Link 1,01/01/2017,2017,1,10:00 PM-11:00 PM,1.76,1.25,0.19,0.12,1.11,0.92,0.22
Link 1,01/01/2017,2017,1,11:00 PM-12:00 AM,1.6,1.07,0.08,0.05,1.02,inf,0.06
Link 1,01/08/2017,2017,1,12:00 AM-01:00 AM,14.99,8.85,9.88,1.93,3.02,21.0,5.05
Link 1,01/08/2017,2017,1,01:00 AM-02:00 AM,1.55,1.0,0.0,0.0,1.0,inf,0.0
Link 1,01/08/2017,2017,1,04:00 AM-05:00 AM,1.46,1.03,0.03,0.02,1.01,1.0,0.03
Link 1,01/08/2017,2017,1,05:00 AM-06:00 AM,2.28,1.0,0.0,0.0,1.0,inf,0.0
Link 1,01/08/2017,2017,1,06:00 AM-07:00 AM,1.71,1.26,0.2,0.13,1.11,0.56,0.24
Link 1,01/08/2017,2017,1,07:00 AM-08:00 AM,1.58,1.37,0.26,0.19,1.15,3.17,0.32
Link 1,01/08/2017,2017,1,08:00 AM-09:00 AM,1.82,1.34,0.32,0.21,1.11,2.0,0.27
Link 1,01/08/2017,2017,1,09:00 AM-10:00 AM,2.34,1.69,0.66,0.39,1.22,6.14,0.53
Link 1,01/08/2017,2017,1,10:00 AM-11:00 AM,6.42,5.03,3.59,1.27,2.22,23.82,3.02
Link 1,01/08/2017,2017,1,11:00 AM-12:00 PM,2.04,1.63,0.45,0.28,1.27,0.28,0.43
Link 1,01/08/2017,2017,1,12:00 PM-01:00 PM,9.11,7.16,6.03,1.96,2.42,6.7,2.68
Link 1,01/08/2017,2017,1,01:00 PM-02:00 PM,2.36,1.32,0.32,0.16,1.14,0.6,0.26
Link 1,01/08/2017,2017,1,02:00 PM-03:00 PM,3.56,2.63,1.38,0.63,1.61,1.94,1.02
Link 1,01/08/2017,2017,1,03:00 PM-04:00 PM,12.26,7.18,8.28,2.09,2.33,5.93,2.06
Link 1,01/08/2017,2017,1,04:00 PM-05:00 PM,1.84,1.31,0.22,0.14,1.15,0.49,0.27
Link 1,01/08/2017,2017,1,05:00 PM-06:00 PM,1.95,1.4,0.36,0.23,1.14,3.06,0.34
Link 1,01/08/2017,2017,1,06:00 PM-07:00 PM,2.08,1.49,0.46,0.28,1.16,3.58,0.36
Link 1,01/08/2017,2017,1,07:00 PM-08:00 PM,1.89,1.32,0.27,0.17,1.13,1.76,0.27
Link 1,01/08/2017,2017,1,08:00 PM-09:00 PM,4.4,3.47,2.36,1.16,1.61,4.96,1.29
Link 1,01/08/2017,2017,1,09:00 PM-10:00 PM,1.74,1.33,0.19,0.13,1.19,0.18,0.31
Link 1,01/08/2017,2017,1,10:00 PM-11:00 PM,2.1,1.37,0.32,0.18,1.16,1.0,0.32
Link 1,01/08/2017,2017,1,11:00 PM-12:00 AM,2.12,1.55,0.49,0.3,1.2,3.82,0.45
Link 1,01/15/2017,2017,1,12:00 AM-01:00 AM,2.0,1.41,0.31,0.18,1.19,0.7,0.35
Link 1,01/15/2017,2017,1,01:00 AM-02:00 AM,1.26,1.01,0.01,0.01,1.01,0.0,0.01
Link 1,01/15/2017,2017,1,02:00 AM-03:00 AM,1.62,1.0,0.0,0.0,1.0,inf,0.0
Link 1,01/15/2017,2017,1,03:00 AM-04:00 AM,2.22,1.75,0.54,0.32,1.33,1.0,0.56
Link 1,01/15/2017,2017,1,04:00 AM-05:00 AM,2.07,1.62,0.56,0.37,1.19,17.61,0.52
Link 1,01/15/2017,2017,1,05:00 AM-06:00 AM,1.43,1.03,0.02,0.02,1.01,1.5,0.03
Link 1,01/15/2017,2017,1,06:00 AM-07:00 AM,1.83,1.41,0.3,0.19,1.18,0.42,0.36
Link 1,01/15/2017,2017,1,07:00 AM-08:00 AM,1.88,1.37,0.25,0.16,1.18,0.29,0.27
Link 1,01/15/2017,2017,1,08:00 AM-09:00 AM,1.85,1.48,0.35,0.24,1.19,0.87,0.37
Link 1,01/15/2017,2017,1,09:00 AM-10:00 AM,1.37,1.16,0.11,0.08,1.07,1.26,0.14
Link 1,01/15/2017,2017,1,10:00 AM-11:00 AM,2.46,1.92,0.75,0.44,1.34,2.54,0.7
Link 1,01/15/2017,2017,1,11:00 AM-12:00 PM,2.05,1.46,0.34,0.2,1.22,0.67,0.38
Link 1,01/15/2017,2017,1,12:00 PM-01:00 PM,2.33,1.63,0.53,0.3,1.25,1.21,0.47
Link 1,01/15/2017,2017,1,01:00 PM-02:00 PM,2.33,1.87,0.57,0.32,1.41,1.16,0.62
Link 1,01/15/2017,2017,1,02:00 PM-03:00 PM,2.74,1.58,0.56,0.26,1.25,1.0,0.46
Link 1,01/15/2017,2017,1,03:00 PM-04:00 PM,2.25,1.5,0.42,0.23,1.22,1.38,0.43
Link 1,01/15/2017,2017,1,04:00 PM-05:00 PM,1.91,1.65,0.51,0.36,1.21,8.41,0.52
Link 1,01/15/2017,2017,1,05:00 PM-06:00 PM,1.74,1.39,0.28,0.19,1.17,1.46,0.33
Link 1,01/15/2017,2017,1,06:00 PM-07:00 PM,3.11,2.07,1.04,0.5,1.38,1.28,0.65
Link 1,01/15/2017,2017,1,07:00 PM-08:00 PM,1.42,1.12,0.09,0.07,1.05,7.5,0.11
Link 1,01/15/2017,2017,1,08:00 PM-09:00 PM,1.73,1.34,0.28,0.19,1.12,1.8,0.25
Link 1,01/15/2017,2017,1,09:00 PM-10:00 PM,13.39,7.63,7.18,1.16,3.54,8.8,3.92
Link 1,01/15/2017,2017,1,10:00 PM-11:00 PM,1.81,1.41,0.33,0.23,1.15,2.41,0.35
Link 1,01/15/2017,2017,1,11:00 PM-12:00 AM,3.2,2.01,0.92,0.4,1.43,1.25,0.72
Link 1,01/22/2017,2017,1,03:00 AM-04:00 AM,1.65,1.36,0.22,0.16,1.18,0.69,0.32
Link 1,01/22/2017,2017,1,04:00 AM-05:00 AM,2.08,1.48,0.41,0.24,1.19,3.65,0.42
Link 1,01/22/2017,2017,1,06:00 AM-07:00 AM,2.61,2.07,0.89,0.51,1.37,3.38,0.81
Link 1,01/22/2017,2017,1,07:00 AM-08:00 AM,1.85,1.31,0.23,0.14,1.14,0.46,0.27
Link 1,01/22/2017,2017,1,08:00 AM-09:00 AM,2.24,1.47,0.47,0.27,1.16,3.26,0.45
Link 1,01/22/2017,2017,1,09:00 AM-10:00 AM,1.72,1.47,0.34,0.25,1.18,3.91,0.43
Link 1,01/22/2017,2017,1,10:00 AM-11:00 AM,1.8,1.58,0.3,0.2,1.31,0.17,0.4
Link 1,01/22/2017,2017,1,11:00 AM-12:00 PM,2.01,1.45,0.38,0.23,1.18,3.06,0.41
Link 1,01/22/2017,2017,1,12:00 PM-01:00 PM,1.98,1.35,0.3,0.18,1.15,0.81,0.31
Link 1,01/22/2017,2017,1,01:00 PM-02:00 PM,2.01,1.2,0.17,0.09,1.1,0.27,0.2
Link 1,01/22/2017,2017,1,02:00 PM-03:00 PM,2.66,1.57,0.64,0.31,1.19,1.89,0.47
Link 1,01/22/2017,2017,1,03:00 PM-04:00 PM,2.43,1.5,0.56,0.3,1.16,4.21,0.41
Link 1,01/22/2017,2017,1,04:00 PM-05:00 PM,2.39,1.7,0.55,0.3,1.31,1.21,0.5
Link 1,01/22/2017,2017,1,05:00 PM-06:00 PM,2.7,1.61,0.49,0.22,1.32,0.27,0.48
Link 1,01/22/2017,2017,1,06:00 PM-07:00 PM,2.43,1.66,0.55,0.29,1.28,1.03,0.48
Link 1,01/22/2017,2017,1,07:00 PM-08:00 PM,2.04,1.64,0.42,0.26,1.3,1.05,0.48
Link 1,01/22/2017,2017,1,08:00 PM-09:00 PM,1.98,1.41,0.34,0.21,1.17,1.11,0.29
Link 1,01/22/2017,2017,1,09:00 PM-10:00 PM,2.04,1.36,0.31,0.18,1.15,0.7,0.32
Link 1,01/22/2017,2017,1,10:00 PM-11:00 PM,2.2,1.62,0.43,0.24,1.3,0.83,0.48
Link 1,01/22/2017,2017,1,11:00 PM-12:00 AM,2.48,1.24,0.27,0.12,1.1,1.0,0.21
Link 1,01/29/2017,2017,1,12:00 AM-01:00 AM,1.57,1.23,0.13,0.09,1.13,0.06,0.2
Link 1,01/29/2017,2017,1,01:00 AM-02:00 AM,1.26,1.0,0.0,0.0,1.0,inf,0.0
Link 1,01/29/2017,2017,1,02:00 AM-03:00 AM,2.47,1.38,0.38,0.18,1.17,1.0,0.33
Link 1,01/29/2017,2017,1,03:00 AM-04:00 AM,1.35,1.04,0.02,0.02,1.02,0.0,0.04
Link 1,01/29/2017,2017,1,04:00 AM-05:00 AM,1.89,1.52,0.45,0.31,1.16,2.18,0.41
Link 1,01/29/2017,2017,1,05:00 AM-06:00 AM,1.54,1.07,0.05,0.04,1.03,1.0,0.06
Link 1,01/29/2017,2017,1,06:00 AM-07:00 AM,2.37,1.74,0.67,0.39,1.25,5.33,0.59
Link 1,01/29/2017,2017,1,07:00 AM-08:00 AM,2.68,1.45,0.53,0.25,1.16,1.07,0.38
Link 1,01/29/2017,2017,1,08:00 AM-09:00 AM,2.13,1.41,0.41,0.24,1.14,2.93,0.36
Link 1,01/29/2017,2017,1,09:00 AM-10:00 AM,2.11,1.22,0.22,0.12,1.09,2.46,0.2
Link 1,01/29/2017,2017,1,10:00 AM-11:00 AM,2.23,1.64,0.44,0.25,1.31,0.3,0.45
Link 1,01/29/2017,2017,1,11:00 AM-12:00 PM,2.27,1.77,0.68,0.42,1.24,2.73,0.52
Link 1,01/29/2017,2017,1,12:00 PM-01:00 PM,3.31,2.22,1.31,0.66,1.34,3.72,0.82
Link 1,01/29/2017,2017,1,01:00 PM-02:00 PM,5.18,3.7,2.97,1.34,1.58,7.86,1.11
Link 1,01/29/2017,2017,1,02:00 PM-03:00 PM,2.24,1.39,0.36,0.19,1.17,1.32,0.33
Link 1,01/29/2017,2017,1,03:00 PM-04:00 PM,2.95,1.92,0.95,0.48,1.3,1.66,0.59
Link 1,01/29/2017,2017,1,04:00 PM-05:00 PM,2.16,1.47,0.4,0.22,1.2,1.16,0.39
Link 1,01/29/2017,2017,1,05:00 PM-06:00 PM,2.68,1.87,0.82,0.44,1.3,2.68,0.55
Link 1,01/29/2017,2017,1,06:00 PM-07:00 PM,1.98,1.56,0.46,0.31,1.19,2.91,0.46
Link 1,01/29/2017,2017,1,07:00 PM-08:00 PM,2.43,1.62,0.55,0.29,1.26,2.24,0.57
Link 1,01/29/2017,2017,1,08:00 PM-09:00 PM,1.45,1.17,0.12,0.09,1.08,0.69,0.16
Link 1,01/29/2017,2017,1,09:00 PM-10:00 PM,2.62,1.75,0.8,0.44,1.21,4.69,0.62
Link 1,01/29/2017,2017,1,10:00 PM-11:00 PM,1.55,1.02,0.01,0.01,1.01,1.0,0.02
Link 1,01/29/2017,2017,1,11:00 PM-12:00 AM,2.52,1.71,0.71,0.39,1.23,4.92,0.54
Link 1,02/05/2017,2017,1,12:00 AM-01:00 AM,1.53,1.15,0.12,0.09,1.06,10.0,0.13
Link 1,02/05/2017,2017,1,01:00 AM-02:00 AM,2.4,1.2,0.23,0.11,1.09,1.0,0.19
Link 1,02/05/2017,2017,1,04:00 AM-05:00 AM,1.62,1.0,0.0,0.0,1.0,inf,0.0
Link 1,02/05/2017,2017,1,05:00 AM-06:00 AM,1.21,1.0,0.0,0.0,1.0,inf,0.0
Link 1,02/05/2017,2017,1,06:00 AM-07:00 AM,1.72,1.17,0.14,0.09,1.07,1.0,0.16
Link 1,02/05/2017,2017,1,07:00 AM-08:00 AM,1.76,1.26,0.25,0.16,1.08,4.11,0.25
Link 1,02/05/2017,2017,1,08:00 AM-09:00 AM,2.62,1.99,0.73,0.39,1.43,1.06,0.69
Link 1,02/05/2017,2017,1,09:00 AM-10:00 AM,1.57,1.04,0.03,0.02,1.01,inf,0.03
Link 1,02/05/2017,2017,1,10:00 AM-11:00 AM,1.95,1.57,0.4,0.26,1.25,1.62,0.48
Link 1,02/05/2017,2017,1,11:00 AM-12:00 PM,2.32,1.49,0.41,0.22,1.23,0.49,0.4
Link 1,02/05/2017,2017,1,12:00 PM-01:00 PM,2.17,1.43,0.44,0.25,1.14,1.46,0.37
Link 1,02/05/2017,2017,1,01:00 PM-02:00 PM,2.21,1.38,0.33,0.17,1.18,0.67,0.38
Link 1,02/05/2017,2017,1,02:00 PM-03:00 PM,2.54,1.7,0.75,0.42,1.2,3.91,0.67
Link 1,02/05/2017,2017,1,03:00 PM-04:00 PM,3.13,1.9,1.09,0.54,1.24,4.77,0.74
Link 1,02/05/2017,2017,1,04:00 PM-05:00 PM,2.91,1.97,0.89,0.44,1.37,2.23,0.72
Link 1,02/05/2017,2017,1,05:00 PM-06:00 PM,2.0,1.46,0.42,0.26,1.15,1.1,0.33
Link 1,02/05/2017,2017,1,06:00 PM-07:00 PM,2.18,1.61,0.57,0.36,1.19,2.02,0.49
Link 1,02/05/2017,2017,1,07:00 PM-08:00 PM,2.09,1.67,0.55,0.35,1.24,3.73,0.55
Link 1,02/05/2017,2017,1,08:00 PM-09:00 PM,2.8,2.18,0.98,0.54,1.42,6.98,1.05
Link 1,02/05/2017,2017,1,09:00 PM-10:00 PM,2.3,1.67,0.58,0.34,1.25,4.03,0.57
Link 1,02/05/2017,2017,1,10:00 PM-11:00 PM,1.8,1.24,0.2,0.13,1.1,1.75,0.21
Link 1,02/05/2017,2017,1,11:00 PM-12:00 AM,9.65,6.82,6.26,1.85,2.39,16.07,3.46
Link 1,02/12/2017,2017,1,12:00 AM-01:00 AM,1.95,1.17,0.16,0.09,1.07,1.0,0.16
Link 1,02/12/2017,2017,1,02:00 AM-03:00 AM,1.74,1.0,0.0,0.0,1.0,inf,0.0
Link 1,02/12/2017,2017,1,03:00 AM-04:00 AM,1.4,1.0,0.0,0.0,1.0,inf,0.0
Link 1,02/12/2017,2017,1,04:00 AM-05:00 AM,1.64,1.24,0.18,0.12,1.11,1.11,0.22
Link 1,02/12/2017,2017,1,05:00 AM-06:00 AM,1.69,1.03,0.03,0.02,1.02,1.0,0.03
Link 1,02/12/2017,2017,1,06:00 AM-07:00 AM,3.23,2.44,1.23,0.62,1.51,1.19,0.8
Link 1,02/12/2017,2017,1,07:00 AM-08:00 AM,1.82,1.31,0.31,0.2,1.09,0.63,0.29
Link 1,02/12/2017,2017,1,08:00 AM-09:00 AM,2.06,1.34,0.27,0.15,1.16,0.42,0.3
Link 1,02/12/2017,2017,1,09:00 AM-10:00 AM,2.36,1.87,0.66,0.39,1.35,1.49,0.59
Link 1,02/12/2017,2017,1,10:00 AM-11:00 AM,2.34,1.62,0.57,0.32,1.23,4.06,0.53
Link 1,02/12/2017,2017,1,11:00 AM-12:00 PM,2.29,1.36,0.38,0.2,1.14,1.48,0.25
Link 1,02/12/2017,2017,1,12:00 PM-01:00 PM,2.0,1.42,0.31,0.18,1.2,0.94,0.36
Link 1,02/12/2017,2017,1,01:00 PM-02:00 PM,2.29,1.78,0.47,0.26,1.42,0.26,0.49
Link 1,02/12/2017,2017,1,02:00 PM-03:00 PM,2.61,1.68,0.67,0.34,1.25,2.1,0.57
Link 1,02/12/2017,2017,1,03:00 PM-04:00 PM,3.35,2.33,1.22,0.57,1.49,1.69,0.87
Link 1,02/12/2017,2017,1,04:00 PM-05:00 PM,2.82,2.2,1.09,0.63,1.35,3.0,0.7
Link 1,02/12/2017,2017,1,05:00 PM-06:00 PM,2.4,1.63,0.5,0.26,1.29,1.86,0.51
Link 1,02/12/2017,2017,1,06:00 PM-07:00 PM,2.34,1.31,0.37,0.19,1.1,1.6,0.28
Link 1,02/12/2017,2017,1,07:00 PM-08:00 PM,2.01,1.37,0.28,0.16,1.18,0.78,0.32
Link 1,02/12/2017,2017,1,08:00 PM-09:00 PM,1.58,1.17,0.12,0.08,1.08,1.88,0.16
Link 1,02/12/2017,2017,1,09:00 PM-10:00 PM,2.0,1.3,0.28,0.17,1.12,1.59,0.29
Link 1,02/12/2017,2017,1,10:00 PM-11:00 PM,2.19,1.59,0.51,0.3,1.22,inf,0.52
Link 1,02/12/2017,2017,1,11:00 PM-12:00 AM,1.61,1.22,0.16,0.11,1.1,0.73,0.22
Link 1,02/19/2017,2017,1,12:00 AM-01:00 AM,2.0,1.52,0.44,0.28,1.19,3.56,0.43
Link 1,02/19/2017,2017,1,01:00 AM-02:00 AM,1.38,1.02,0.01,0.01,1.01,1.0,0.02
Link 1,02/19/2017,2017,1,02:00 AM-03:00 AM,1.3,1.06,0.04,0.03,1.03,1.0,0.06
Link 1,02/19/2017,2017,1,03:00 AM-04:00 AM,1.33,1.0,0.0,0.0,1.0,inf,0.0
Link 1,02/19/2017,2017,1,04:00 AM-05:00 AM,3.22,2.27,1.22,0.61,1.41,7.61,1.03
Link 1,02/19/2017,2017,1,05:00 AM-06:00 AM,2.14,1.68,0.51,0.31,1.28,2.32,0.55
Link 1,02/19/2017,2017,1,06:00 AM-07:00 AM,1.55,1.02,0.01,0.01,1.01,1.0,0.02
Link 1,02/19/2017,2017,1,07:00 AM-08:00 AM,1.43,1.0,0.0,0.0,1.0,inf,0.0
Link 1,02/19/2017,2017,1,08:00 AM-09:00 AM,2.13,1.55,0.53,0.33,1.17,5.87,0.42
Link 1,02/19/2017,2017,1,09:00 AM-10:00 AM,2.25,1.55,0.52,0.3,1.19,2.1,0.48
Link 1,02/19/2017,2017,1,10:00 AM-11:00 AM,2.86,1.67,0.78,0.37,1.22,6.7,0.54
Link 1,02/19/2017,2017,1,11:00 AM-12:00 PM,2.15,1.83,0.64,0.42,1.29,0.98,0.48
Link 1,02/19/2017,2017,1,12:00 PM-01:00 PM,1.97,1.43,0.3,0.18,1.22,0.3,0.34
Link 1,02/19/2017,2017,1,01:00 PM-02:00 PM,2.33,1.63,0.61,0.36,1.2,7.07,0.48
Link 1,02/19/2017,2017,1,02:00 PM-03:00 PM,3.0,2.16,1.02,0.51,1.43,2.78,0.91
Link 1,02/19/2017,2017,1,03:00 PM-04:00 PM,5.26,3.36,2.6,0.97,1.7,5.35,1.5
Link 1,02/19/2017,2017,1,04:00 PM-05:00 PM,2.22,1.72,0.66,0.42,1.21,9.42,0.66
Link 1,02/19/2017,2017,1,05:00 PM-06:00 PM,2.79,1.74,0.75,0.37,1.27,3.46,0.6
Link 1,02/19/2017,2017,1,06:00 PM-07:00 PM,2.19,1.5,0.34,0.18,1.27,0.33,0.41
Link 1,02/19/2017,2017,1,07:00 PM-08:00 PM,2.04,1.4,0.42,0.26,1.12,10.0,0.33
Link 1,02/19/2017,2017,1,08:00 PM-09:00 PM,1.86,1.49,0.38,0.25,1.19,2.33,0.41
Link 1,02/19/2017,2017,1,09:00 PM-10:00 PM,2.92,2.04,0.93,0.46,1.39,5.06,0.92
Link 1,02/19/2017,2017,1,10:00 PM-11:00 PM,1.65,1.23,0.17,0.11,1.11,0.64,0.23
Link 1,02/19/2017,2017,1,11:00 PM-12:00 AM,1.66,1.19,0.13,0.08,1.1,0.0,0.18
Link 1,02/26/2017,2017,1,12:00 AM-01:00 AM,1.73,1.19,0.15,0.09,1.09,0.95,0.17
Link 1,02/26/2017,2017,1,01:00 AM-02:00 AM,8.35,6.18,4.38,1.1,2.94,31.63,4.12
Link 1,02/26/2017,2017,1,02:00 AM-03:00 AM,1.88,1.41,0.3,0.19,1.19,0.76,0.33
Link 1,02/26/2017,2017,1,03:00 AM-04:00 AM,2.23,1.52,0.43,0.24,1.23,0.71,0.43
Link 1,02/26/2017,2017,1,04:00 AM-05:00 AM,2.81,2.17,0.9,0.48,1.47,2.77,0.85
Link 1,02/26/2017,2017,1,05:00 AM-06:00 AM,1.67,1.19,0.15,0.1,1.08,1.0,0.18
Link 1,02/26/2017,2017,1,06:00 AM-07:00 AM,1.66,1.25,0.21,0.15,1.09,1.04,0.19
Link 1,02/26/2017,2017,1,07:00 AM-08:00 AM,11.66,8.06,7.6,1.87,2.8,9.01,3.55
Link 1,02/26/2017,2017,1,08:00 AM-09:00 AM,2.05,1.48,0.4,0.24,1.19,2.95,0.44
Link 1,02/26/2017,2017,1,09:00 AM-10:00 AM,2.34,1.86,0.7,0.42,1.3,2.39,0.6
Link 1,02/26/2017,2017,1,10:00 AM-11:00 AM,1.92,1.42,0.38,0.25,1.14,2.04,0.33
Link 1,02/26/2017,2017,1,11:00 AM-12:00 PM,7.79,5.42,4.54,1.39,2.27,8.75,2.74
Link 1,02/26/2017,2017,1,12:00 PM-01:00 PM,1.95,1.32,0.25,0.15,1.15,1.02,0.28
Link 1,02/26/2017,2017,1,01:00 PM-02:00 PM,2.1,1.52,0.47,0.29,1.18,3.46,0.45
Link 1,02/26/2017,2017,1,02:00 PM-03:00 PM,3.92,2.55,1.73,0.79,1.42,6.03,1.19
Link 1,02/26/2017,2017,1,03:00 PM-04:00 PM,2.6,1.63,0.58,0.29,1.27,0.67,0.45
Link 1,02/26/2017,2017,1,04:00 PM-05:00 PM,2.31,1.33,0.41,0.22,1.09,5.64,0.27
Link 1,02/26/2017,2017,1,05:00 PM-06:00 PM,3.18,2.19,1.29,0.68,1.3,10.39,0.85
Link 1,02/26/2017,2017,1,06:00 PM-07:00 PM,2.23,1.47,0.45,0.25,1.17,2.95,0.37
Link 1,02/26/2017,2017,1,07:00 PM-08:00 PM,1.74,1.27,0.22,0.14,1.11,1.27,0.28
Link 1,02/26/2017,2017,1,08:00 PM-09:00 PM,2.46,1.7,0.66,0.37,1.24,2.31,0.54
Link 1,02/26/2017,2017,1,09:00 PM-10:00 PM,1.82,1.49,0.35,0.24,1.2,1.75,0.4
Link 1,02/26/2017,2017,1,10:00 PM-11:00 PM,1.84,1.52,0.42,0.3,1.17,3.08,0.37
Link 1,02/26/2017,2017,1,11:00 PM-12:00 AM,1.67,1.27,0.24,0.17,1.08,3.29,0.21
Link 1,03/05/2017,2017,1,12:00 AM-01:00 AM,1.62,1.26,0.16,0.11,1.13,0.5,0.24
Link 1,03/05/2017,2017,1,02:00 AM-03:00 AM,1.24,1.0,0.0,0.0,1.0,inf,0.0
Link 1,03/05/2017,2017,1,03:00 AM-04:00 AM,2.14,1.0,0.0,0.0,1.0,inf,0.0
Link 1,03/05/2017,2017,1,04:00 AM-05:00 AM,1.78,1.44,0.32,0.22,1.18,1.27,0.37
Link 1,03/05/2017,2017,1,05:00 AM-06:00 AM,2.38,1.76,0.64,0.37,1.29,1.5,0.57
Link 1,03/05/2017,2017,1,06:00 AM-07:00 AM,2.16,1.59,0.55,0.34,1.18,12.64,0.49
Link 1,03/05/2017,2017,1,07:00 AM-08:00 AM,2.22,1.46,0.47,0.27,1.14,1.41,0.39
Link 1,03/05/2017,2017,1,08:00 AM-09:00 AM,1.84,1.46,0.36,0.25,1.17,1.16,0.37
Link 1,03/05/2017,2017,1,09:00 AM-10:00 AM,1.95,1.47,0.35,0.22,1.21,0.61,0.34
Link 1,03/05/2017,2017,1,10:00 AM-11:00 AM,12.08,6.82,7.66,1.73,2.49,20.32,3.93
Link 1,03/05/2017,2017,1,11:00 AM-12:00 PM,1.92,1.44,0.33,0.21,1.2,0.71,0.31
Link 1,03/05/2017,2017,1,12:00 PM-01:00 PM,2.87,1.7,0.79,0.38,1.23,1.24,0.46
Link 1,03/05/2017,2017,1,01:00 PM-02:00 PM,1.78,1.22,0.18,0.11,1.1,0.73,0.23
Link 1,03/05/2017,2017,1,02:00 PM-03:00 PM,2.14,1.51,0.45,0.27,1.19,1.85,0.42
Link 1,03/05/2017,2017,1,03:00 PM-04:00 PM,2.67,1.57,0.61,0.3,1.21,0.89,0.47
Link 1,03/05/2017,2017,1,04:00 PM-05:00 PM,5.31,4.04,3.02,1.32,1.74,2.8,1.13
Link 1,03/05/2017,2017,1,05:00 PM-06:00 PM,2.2,1.61,0.43,0.24,1.3,0.71,0.48
Link 1,03/05/2017,2017,1,06:00 PM-07:00 PM,2.34,1.63,0.62,0.36,1.2,1.41,0.51
Link 1,03/05/2017,2017,1,07:00 PM-08:00 PM,2.17,1.47,0.41,0.23,1.19,1.81,0.41
Link 1,03/05/2017,2017,1,08:00 PM-09:00 PM,2.12,1.22,0.22,0.11,1.1,1.0,0.2
Link 1,03/05/2017,2017,1,09:00 PM-10:00 PM,1.52,1.23,0.17,0.13,1.09,2.78,0.21
Link 1,03/05/2017,2017,1,10:00 PM-11:00 PM,2.67,1.79,0.73,0.38,1.3,1.99,0.61
Link 1,03/05/2017,2017,1,11:00 PM-12:00 AM,1.78,1.29,0.19,0.12,1.15,0.0,0.26
Link 1,03/19/2017,2017,1,12:00 AM-01:00 AM,2.43,1.0,0.0,0.0,1.0,inf,0.0
Link 1,03/19/2017,2017,1,01:00 AM-02:00 AM,2.06,1.42,0.33,0.19,1.2,1.05,0.35
Link 1,03/19/2017,2017,1,02:00 AM-03:00 AM,8.69,5.83,5.32,1.58,2.26,12.61,3.15
Link 1,03/19/2017,2017,1,04:00 AM-05:00 AM,1.61,1.26,0.17,0.12,1.12,0.43,0.23
Link 1,03/19/2017,2017,1,05:00 AM-06:00 AM,4.61,3.12,2.23,0.93,1.61,31.54,1.64
Link 1,03/19/2017,2017,1,06:00 AM-07:00 AM,3.41,2.28,1.38,0.68,1.36,7.06,0.92
