LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var
Link 3,2019,3,02:00 AM-03:00 AM,2.98,2.19,1.14,0.62,1.36,3.4,0.73
Link 3,2019,4,02:00 AM-03:00 AM,3.7,2.68,1.76,0.9,1.41,3.38,0.82
Link 4,2017,3,02:00 AM-03:00 AM,3.29,2.39,1.34,0.69,1.42,3.78,0.73
Link 4,2017,3,03:00 AM-04:00 AM,2.55,1.77,0.73,0.4,1.27,3.15,0.65
Link 4,2017,3,04:00 AM-05:00 AM,2.86,2.22,1.25,0.78,1.25,1.62,0.37
Link 4,2017,3,05:00 AM-06:00 AM,2.85,2.16,1.2,0.72,1.25,3.38,0.59
Link 4,2017,3,06:00 AM-07:00 AM,2.67,1.99,0.94,0.55,1.29,2.92,0.65
Link 4,2017,3,07:00 AM-08:00 AM,7.02,4.78,4.23,1.51,1.9,4.65,1.59
Link 4,2017,3,08:00 AM-09:00 AM,3.95,2.63,1.52,0.63,1.62,3.77,1.0
Link 4,2017,3,09:00 AM-10:00 AM,3.16,2.19,1.31,0.71,1.29,3.78,0.71
Link 4,2017,3,10:00 AM-11:00 AM,2.53,1.81,0.78,0.44,1.25,2.29,0.57
Link 4,2017,3,11:00 AM-12:00 PM,2.56,1.83,0.81,0.46,1.26,2.0,0.52
Link 4,2017,3,12:00 PM-01:00 PM,2.75,1.94,0.86,0.46,1.33,2.59,0.57
Link 4,2017,3,01:00 PM-02:00 PM,2.87,1.99,0.99,0.53,1.3,2.4,0.66
Link 4,2017,3,02:00 PM-03:00 PM,2.75,1.96,0.91,0.5,1.31,2.88,0.6
Link 4,2017,3,03:00 PM-04:00 PM,4.09,2.84,2.02,0.97,1.44,2.42,0.7
Link 4,2017,3,04:00 PM-05:00 PM,3.39,2.26,1.26,0.59,1.42,2.4,0.77
Link 4,2017,3,05:00 PM-06:00 PM,5.75,3.73,3.32,1.37,1.57,3.75,1.19
Link 4,2017,3,06:00 PM-07:00 PM,3.16,2.26,1.25,0.65,1.36,2.64,0.74
Link 4,2017,3,07:00 PM-08:00 PM,3.01,2.25,1.2,0.66,1.35,2.73,0.65
Link 4,2017,3,08:00 PM-09:00 PM,3.01,2.19,1.23,0.69,1.3,2.78,0.57
Link 4,2017,3,10:00 PM-11:00 PM,2.6,1.86,0.91,0.54,1.21,2.5,0.53
Link 4,2017,3,11:00 PM-12:00 AM,2.39,1.7,0.6,0.33,1.27,1.17,0.54
Link 4,2017,4,12:00 AM-01:00 AM,2.0,1.5,0.47,0.31,1.14,1.72,0.33
Link 4,2017,4,01:00 AM-02:00 AM,2.34,1.75,0.69,0.42,1.23,1.83,0.62
Link 4,2017,4,02:00 AM-03:00 AM,2.69,1.94,0.93,0.52,1.27,2.0,0.52
Link 4,2017,4,05:00 AM-06:00 AM,3.0,2.25,1.15,0.62,1.39,3.28,0.78
Link 4,2017,4,06:00 AM-07:00 AM,3.33,2.49,1.54,0.86,1.34,4.47,0.87
Link 4,2017,4,07:00 AM-08:00 AM,6.32,4.21,3.59,1.31,1.82,5.4,1.6
Link 4,2017,4,08:00 AM-09:00 AM,3.95,2.63,1.69,0.75,1.51,4.11,1.04
Link 4,2017,4,09:00 AM-10:00 AM,2.87,2.05,1.06,0.59,1.29,2.57,0.62
Link 4,2017,4,10:00 AM-11:00 AM,2.57,1.85,0.84,0.49,1.25,2.54,0.57
Link 4,2017,4,11:00 AM-12:00 PM,2.87,2.05,1.02,0.55,1.32,2.07,0.54
Link 4,2017,4,12:00 PM-01:00 PM,2.57,1.84,0.76,0.42,1.3,2.56,0.55
Link 4,2017,4,01:00 PM-02:00 PM,3.33,2.31,1.32,0.66,1.4,3.73,0.74
Link 4,2017,4,02:00 PM-03:00 PM,2.71,1.88,0.84,0.45,1.29,1.93,0.58
Link 4,2017,4,03:00 PM-04:00 PM,3.3,2.25,1.25,0.61,1.39,2.14,0.64
Link 4,2017,4,04:00 PM-05:00 PM,3.72,2.42,1.41,0.61,1.5,2.95,0.83
Link 4,2017,4,05:00 PM-06:00 PM,7.02,4.68,4.24,1.53,1.85,4.84,1.72
Link 4,2017,4,06:00 PM-07:00 PM,3.22,2.23,1.28,0.66,1.35,3.73,0.74
Link 4,2017,4,07:00 PM-08:00 PM,2.79,1.94,0.99,0.55,1.25,1.93,0.56
Link 4,2017,4,09:00 PM-10:00 PM,2.53,1.84,0.82,0.48,1.25,3.17,0.63
Link 4,2017,4,11:00 PM-12:00 AM,2.23,1.73,0.28,0.15,1.51,2.28,0.48
Link 4,2017,5,01:00 AM-02:00 AM,2.5,1.79,0.78,0.45,1.23,1.07,0.36
Link 4,2017,5,02:00 AM-03:00 AM,2.43,1.68,0.72,0.42,1.19,2.86,0.51
Link 4,2017,5,03:00 AM-04:00 AM,2.82,2.22,1.08,0.62,1.37,2.0,0.65
Link 4,2017,5,05:00 AM-06:00 AM,2.65,2.01,0.97,0.58,1.28,2.09,0.59
Link 4,2017,5,06:00 AM-07:00 AM,3.01,2.25,1.22,0.69,1.33,3.54,0.69
Link 4,2017,5,07:00 AM-08:00 AM,6.32,4.21,3.7,1.42,1.74,4.32,1.39
Link 4,2017,5,08:00 AM-09:00 AM,4.51,3.07,2.27,1.02,1.52,3.65,0.95
Link 4,2017,5,09:00 AM-10:00 AM,3.16,2.26,1.25,0.65,1.37,2.08,0.67
Link 4,2017,5,10:00 AM-11:00 AM,2.87,2.05,1.08,0.61,1.28,2.0,0.52
Link 4,2017,5,11:00 AM-12:00 PM,3.25,2.32,1.22,0.6,1.45,2.72,0.72
Link 4,2017,5,12:00 PM-01:00 PM,3.51,2.51,1.53,0.77,1.42,2.72,0.72
Link 4,2017,5,01:00 PM-02:00 PM,2.87,1.95,0.93,0.48,1.32,2.65,0.66
Link 4,2017,5,02:00 PM-03:00 PM,3.6,2.54,1.54,0.75,1.45,3.23,0.8
Link 4,2017,5,03:00 PM-04:00 PM,3.72,2.48,1.55,0.71,1.45,2.54,0.72
Link 4,2017,5,04:00 PM-05:00 PM,3.72,2.48,1.49,0.67,1.49,3.1,0.92
Link 4,2017,5,05:00 PM-06:00 PM,4.21,2.73,1.78,0.73,1.58,2.95,1.1
Link 4,2017,5,06:00 PM-07:00 PM,3.33,2.38,1.18,0.55,1.54,3.38,0.87
Link 4,2017,5,07:00 PM-08:00 PM,2.11,1.54,0.46,0.28,1.2,1.6,0.41
Link 4,2017,5,08:00 PM-09:00 PM,2.84,2.03,1.01,0.55,1.31,2.0,0.52
Link 4,2017,4,03:00 AM-04:00 AM,3.92,2.86,2.06,1.11,1.36,3.56,0.67
Link 4,2017,4,10:00 PM-11:00 PM,2.27,1.72,0.52,0.3,1.32,2.56,0.58
Link 4,2017,5,04:00 AM-05:00 AM,3.03,2.12,1.16,0.62,1.31,3.07,0.7
Link 4,2017,5,09:00 PM-10:00 PM,2.45,1.87,0.77,0.46,1.28,1.19,0.4
Link 4,2017,3,12:00 AM-01:00 AM,2.6,1.98,1.02,0.65,1.21,1.74,0.38
Link 4,2017,4,08:00 PM-09:00 PM,3.95,2.82,1.96,0.98,1.42,4.67,0.98
Link 4,2017,5,12:00 AM-01:00 AM,2.17,1.62,0.58,0.37,1.18,1.35,0.31
Link 4,2017,5,10:00 PM-11:00 PM,2.53,1.89,0.78,0.45,1.31,2.0,0.52
Link 4,2017,3,01:00 AM-02:00 AM,2.03,1.45,0.4,0.25,1.16,1.58,0.38
Link 4,2017,3,09:00 PM-10:00 PM,2.44,1.82,0.6,0.33,1.37,2.89,0.54
Link 4,2017,4,04:00 AM-05:00 AM,2.11,1.57,0.47,0.28,1.23,1.28,0.45
Link 4,2017,5,11:00 PM-12:00 AM,2.07,1.61,0.28,0.16,1.39,1.41,0.44
Link 4,2018,3,03:00 AM-04:00 AM,2.46,1.8,0.77,0.45,1.24,2.85,0.5
Link 4,2018,3,04:00 AM-05:00 AM,1.96,1.5,0.46,0.31,1.15,2.03,0.37
Link 4,2018,3,05:00 AM-06:00 AM,2.87,2.14,1.12,0.64,1.31,2.91,0.56
Link 4,2018,3,06:00 AM-07:00 AM,6.32,4.61,4.02,1.74,1.68,4.41,1.11
Link 4,2018,3,07:00 AM-08:00 AM,9.03,5.86,5.88,1.87,2.04,8.92,2.56
Link 4,2018,3,08:00 AM-09:00 AM,5.75,3.91,3.18,1.24,1.75,4.09,1.27
Link 4,2018,3,09:00 AM-10:00 AM,2.87,2.05,1.02,0.55,1.32,2.16,0.65
Link 4,2018,3,10:00 AM-11:00 AM,4.21,3.05,2.1,0.99,1.53,2.62,0.78
Link 4,2018,3,11:00 AM-12:00 PM,2.87,2.05,1.04,0.57,1.31,2.99,0.62
Link 4,2018,3,12:00 PM-01:00 PM,3.33,2.27,1.36,0.69,1.34,2.65,0.66
Link 4,2018,3,01:00 PM-02:00 PM,3.01,2.15,1.11,0.59,1.35,3.0,0.7
Link 4,2018,3,02:00 PM-03:00 PM,2.87,1.99,0.93,0.48,1.35,2.32,0.6
Link 4,2018,3,03:00 PM-04:00 PM,3.01,2.05,1.01,0.51,1.36,2.25,0.66
Link 4,2018,3,04:00 PM-05:00 PM,5.75,3.73,3.3,1.35,1.59,4.0,1.17
Link 4,2018,3,05:00 PM-06:00 PM,7.02,4.44,4.19,1.48,1.79,3.43,1.38
Link 4,2018,3,06:00 PM-07:00 PM,3.77,2.62,1.74,0.86,1.4,3.35,0.79
Link 4,2018,3,07:00 PM-08:00 PM,2.55,1.86,0.74,0.41,1.33,1.81,0.5
Link 4,2018,3,08:00 PM-09:00 PM,2.75,2.13,1.01,0.58,1.35,1.88,0.58
Link 4,2018,3,09:00 PM-10:00 PM,6.5,5.15,4.39,2.08,1.67,3.68,0.87
Link 4,2018,3,10:00 PM-11:00 PM,3.03,2.16,1.27,0.72,1.26,3.02,0.53
Link 4,2018,4,12:00 AM-01:00 AM,1.92,1.45,0.39,0.25,1.16,0.91,0.32
Link 4,2018,4,02:00 AM-03:00 AM,2.53,1.72,0.81,0.47,1.17,2.85,0.48
Link 4,2018,4,03:00 AM-04:00 AM,2.76,2.1,1.11,0.67,1.25,3.84,0.78
Link 4,2018,4,04:00 AM-05:00 AM,2.85,2.13,1.14,0.67,1.27,2.01,0.66
Link 4,2018,4,05:00 AM-06:00 AM,2.75,2.05,1.0,0.57,1.31,3.95,0.83
Link 4,2018,4,06:00 AM-07:00 AM,6.32,4.61,3.97,1.69,1.71,5.13,1.14
Link 4,2018,4,07:00 AM-08:00 AM,10.53,7.02,7.33,2.29,2.13,8.74,2.72
Link 4,2018,4,08:00 AM-09:00 AM,6.32,4.39,3.75,1.46,1.78,7.64,1.77
Link 4,2018,4,09:00 AM-10:00 AM,4.51,3.22,2.28,1.02,1.59,4.26,1.05
Link 4,2018,4,10:00 AM-11:00 AM,2.87,2.05,1.06,0.58,1.3,2.57,0.62
Link 4,2018,4,11:00 AM-12:00 PM,3.16,2.26,1.23,0.64,1.38,2.72,0.72
Link 4,2018,4,12:00 PM-01:00 PM,2.87,2.05,0.95,0.5,1.37,3.0,0.7
Link 4,2018,4,01:00 PM-02:00 PM,3.16,2.15,1.21,0.62,1.32,2.42,0.7
Link 4,2018,4,02:00 PM-03:00 PM,3.72,2.58,1.65,0.79,1.44,3.39,0.8
Link 4,2018,4,03:00 PM-04:00 PM,3.33,2.22,1.27,0.61,1.38,2.54,0.72
Link 4,2018,4,04:00 PM-05:00 PM,4.84,3.14,2.45,1.02,1.56,3.0,1.03
Link 4,2018,4,05:00 PM-06:00 PM,9.03,6.02,5.92,1.91,2.07,7.51,2.38
Link 4,2018,4,06:00 PM-07:00 PM,3.33,2.27,1.22,0.58,1.43,2.59,0.81
Link 4,2018,4,07:00 PM-08:00 PM,2.35,1.76,0.68,0.41,1.25,2.31,0.54
Link 4,2018,4,08:00 PM-09:00 PM,2.38,1.74,0.7,0.42,1.23,1.87,0.53
Link 4,2018,4,09:00 PM-10:00 PM,3.85,2.87,1.96,1.04,1.41,3.45,0.82
Link 4,2018,4,11:00 PM-12:00 AM,2.45,1.83,0.74,0.44,1.27,2.34,0.63
Link 4,2018,5,12:00 AM-01:00 AM,3.16,2.39,1.32,0.72,1.39,2.99,0.69
Link 4,2018,5,01:00 AM-02:00 AM,2.18,1.67,0.58,0.36,1.22,1.26,0.43
Link 4,2018,5,03:00 AM-04:00 AM,2.18,1.59,0.52,0.31,1.21,2.04,0.5
Link 4,2018,5,05:00 AM-06:00 AM,3.09,2.38,1.31,0.74,1.37,2.84,0.7
Link 4,2018,5,06:00 AM-07:00 AM,6.56,4.9,4.12,1.68,1.83,6.92,1.72
Link 4,2018,5,07:00 AM-08:00 AM,12.22,8.15,8.84,2.62,2.25,10.28,3.15
Link 4,2018,5,08:00 AM-09:00 AM,5.13,3.56,2.74,1.15,1.66,4.15,1.17
Link 4,2018,5,09:00 AM-10:00 AM,3.93,2.81,1.91,0.95,1.44,2.72,0.72
Link 4,2018,5,10:00 AM-11:00 AM,3.16,2.25,1.11,0.54,1.46,2.66,0.64
Link 4,2018,5,11:00 AM-12:00 PM,2.87,2.02,0.97,0.51,1.34,2.41,0.66
Link 4,2018,5,12:00 PM-01:00 PM,3.14,2.25,1.13,0.56,1.44,2.47,0.74
Link 4,2018,5,01:00 PM-02:00 PM,3.72,2.53,1.61,0.77,1.43,3.35,0.79
Link 4,2018,5,02:00 PM-03:00 PM,3.01,2.09,0.97,0.48,1.42,2.28,0.71
Link 4,2018,5,03:00 PM-04:00 PM,3.51,2.34,1.45,0.7,1.37,3.12,0.77
Link 4,2018,5,04:00 PM-05:00 PM,4.86,3.24,2.47,1.03,1.6,3.41,1.14
Link 4,2018,5,05:00 PM-06:00 PM,5.75,3.59,3.2,1.26,1.59,3.23,1.14
Link 4,2018,5,06:00 PM-07:00 PM,3.52,2.44,1.47,0.72,1.42,3.08,0.84
Link 4,2018,5,07:00 PM-08:00 PM,3.16,2.36,1.34,0.74,1.36,3.27,0.7
Link 4,2018,5,08:00 PM-09:00 PM,3.07,2.29,1.31,0.75,1.31,1.96,0.63
Link 4,2018,5,09:00 PM-10:00 PM,3.84,2.88,1.91,1.0,1.44,1.5,0.6
Link 4,2018,5,11:00 PM-12:00 AM,3.46,2.47,1.31,0.61,1.54,3.78,1.06
Link 4,2018,3,12:00 AM-01:00 AM,2.71,2.02,1.02,0.6,1.26,3.9,0.49
Link 4,2018,3,01:00 AM-02:00 AM,2.4,1.63,0.68,0.39,1.17,1.56,0.29
Link 4,2018,3,02:00 AM-03:00 AM,4.51,3.21,2.66,1.43,1.32,3.51,0.41
Link 4,2018,3,11:00 PM-12:00 AM,2.67,2.0,0.94,0.54,1.29,1.68,0.53
Link 4,2018,4,10:00 PM-11:00 PM,2.75,2.02,1.04,0.61,1.25,3.63,0.66
Link 4,2018,5,10:00 PM-11:00 PM,2.1,1.59,0.49,0.3,1.22,1.24,0.37
Link 4,2018,4,01:00 AM-02:00 AM,2.28,1.67,0.63,0.38,1.21,1.89,0.42
Link 4,2018,5,02:00 AM-03:00 AM,1.95,1.49,0.37,0.23,1.2,1.12,0.39
Link 4,2018,5,04:00 AM-05:00 AM,2.49,1.89,0.91,0.57,1.2,1.73,0.44
Link 4,2019,3,02:00 AM-03:00 AM,4.11,3.35,2.13,1.08,1.61,3.9,0.91
Link 4,2019,3,03:00 AM-04:00 AM,7.56,5.86,5.32,2.38,1.74,2.68,0.83
Link 4,2019,3,04:00 AM-05:00 AM,3.74,2.87,1.84,0.97,1.45,1.99,0.61
Link 4,2019,3,06:00 AM-07:00 AM,2.75,2.01,0.91,0.5,1.34,2.93,0.68
Link 4,2019,3,07:00 AM-08:00 AM,5.74,3.9,3.15,1.21,1.76,4.51,1.35
Link 4,2019,3,10:00 AM-11:00 AM,3.01,2.15,1.15,0.62,1.33,2.66,0.64
Link 4,2019,3,11:00 AM-12:00 PM,3.39,2.42,1.41,0.71,1.41,2.12,0.62
Link 4,2019,3,12:00 PM-01:00 PM,2.96,2.11,1.11,0.6,1.32,2.89,0.67
Link 4,2019,3,01:00 PM-02:00 PM,3.05,2.12,1.08,0.55,1.37,2.63,0.79
Link 4,2019,3,02:00 PM-03:00 PM,3.16,2.15,1.08,0.52,1.41,2.86,0.77
Link 4,2019,3,03:00 PM-04:00 PM,3.32,2.26,1.3,0.65,1.37,2.37,0.75
Link 4,2019,3,04:00 PM-05:00 PM,4.21,2.81,1.89,0.81,1.55,2.55,0.95
Link 4,2019,3,05:00 PM-06:00 PM,6.31,3.94,3.59,1.32,1.7,2.77,1.11
Link 4,2019,3,06:00 PM-07:00 PM,3.51,2.34,1.51,0.75,1.34,3.61,0.82
Link 4,2019,3,07:00 PM-08:00 PM,3.32,2.49,1.4,0.73,1.44,3.12,0.84
Link 4,2019,3,09:00 PM-10:00 PM,3.01,2.28,1.15,0.62,1.41,4.0,0.7
Link 4,2019,3,10:00 PM-11:00 PM,3.23,2.48,1.35,0.72,1.45,2.97,0.8
Link 4,2019,3,11:00 PM-12:00 AM,9.12,6.89,6.6,2.63,1.9,9.33,1.74
Link 4,2019,4,12:00 AM-01:00 AM,2.74,1.89,0.93,0.51,1.25,1.89,0.53
Link 4,2019,4,03:00 AM-04:00 AM,3.63,2.73,1.67,0.85,1.48,2.39,0.55
Link 4,2019,4,04:00 AM-05:00 AM,6.89,5.14,4.74,2.21,1.6,2.44,0.59
Link 4,2019,4,05:00 AM-06:00 AM,2.97,2.22,1.04,0.54,1.44,1.79,0.51
Link 4,2019,4,06:00 AM-07:00 AM,3.2,2.29,1.26,0.65,1.38,3.7,0.86
Link 4,2019,4,07:00 AM-08:00 AM,7.02,4.68,4.38,1.66,1.76,5.53,1.61
Link 4,2019,4,08:00 AM-09:00 AM,4.51,3.01,2.1,0.87,1.61,3.61,1.07
Link 4,2019,4,09:00 AM-10:00 AM,3.22,2.24,1.28,0.66,1.35,2.65,0.66
Link 4,2019,4,10:00 AM-11:00 AM,3.16,2.26,1.29,0.69,1.34,2.65,0.72
Link 4,2019,4,11:00 AM-12:00 PM,3.32,2.37,1.38,0.72,1.38,2.49,0.75
Link 4,2019,4,12:00 PM-01:00 PM,3.53,2.45,1.42,0.67,1.47,2.32,0.72
Link 4,2019,4,01:00 PM-02:00 PM,3.32,2.31,1.3,0.65,1.4,3.24,0.77
Link 4,2019,4,02:00 PM-03:00 PM,3.16,2.19,1.14,0.56,1.4,2.86,0.77
Link 4,2019,4,03:00 PM-04:00 PM,3.51,2.35,1.34,0.61,1.46,3.36,0.87
Link 4,2019,4,04:00 PM-05:00 PM,5.14,3.43,2.76,1.16,1.58,3.12,0.97
Link 4,2019,4,05:00 PM-06:00 PM,7.02,4.44,4.17,1.46,1.8,3.72,1.53
Link 4,2019,4,06:00 PM-07:00 PM,3.16,2.19,1.17,0.58,1.39,2.95,0.86
Link 4,2019,4,07:00 PM-08:00 PM,2.87,2.14,1.0,0.54,1.39,2.48,0.7
Link 4,2019,4,08:00 PM-09:00 PM,3.95,2.95,1.97,1.0,1.48,3.28,0.88
Link 4,2019,4,09:00 PM-10:00 PM,3.12,2.36,1.16,0.59,1.49,3.79,0.98
Link 4,2019,4,10:00 PM-11:00 PM,2.89,2.22,1.15,0.66,1.34,2.9,0.64
Link 4,2019,5,12:00 AM-01:00 AM,3.95,2.82,1.84,0.87,1.51,3.27,0.7
Link 4,2019,5,03:00 AM-04:00 AM,2.1,1.59,0.44,0.26,1.26,1.3,0.51
Link 4,2019,5,05:00 AM-06:00 AM,4.86,3.55,2.7,1.25,1.58,5.13,1.01
Link 4,2019,5,06:00 AM-07:00 AM,2.77,2.07,0.93,0.5,1.37,3.28,0.65
Link 4,2019,5,07:00 AM-08:00 AM,4.21,2.9,1.81,0.75,1.66,2.8,1.02
Link 4,2019,5,08:00 AM-09:00 AM,5.97,4.06,3.46,1.38,1.71,4.31,1.2
Link 4,2019,5,09:00 AM-10:00 AM,3.01,2.15,1.06,0.54,1.39,2.41,0.68
Link 4,2019,5,10:00 AM-11:00 AM,3.16,2.26,1.2,0.61,1.4,2.72,0.72
Link 4,2019,5,11:00 AM-12:00 PM,3.71,2.65,1.69,0.84,1.44,2.73,0.75
Link 4,2019,5,12:00 PM-01:00 PM,3.02,2.1,1.1,0.58,1.34,1.97,0.64
Link 4,2019,5,01:00 PM-02:00 PM,3.71,2.65,1.64,0.79,1.48,3.25,0.92
Link 4,2019,5,02:00 PM-03:00 PM,3.51,2.39,1.48,0.73,1.38,2.86,0.77
Link 4,2019,5,03:00 PM-04:00 PM,3.32,2.22,1.26,0.62,1.38,2.22,0.68
Link 4,2019,5,04:00 PM-05:00 PM,4.21,2.66,1.89,0.81,1.47,2.37,0.89
Link 4,2019,5,05:00 PM-06:00 PM,7.02,4.11,4.08,1.39,1.72,3.84,1.57
Link 4,2019,5,06:00 PM-07:00 PM,3.32,2.26,1.31,0.65,1.37,3.02,0.89
Link 4,2019,5,07:00 PM-08:00 PM,2.91,2.13,1.09,0.6,1.33,2.7,0.69
Link 4,2019,5,08:00 PM-09:00 PM,3.76,2.8,1.8,0.92,1.46,3.28,0.87
Link 4,2019,5,10:00 PM-11:00 PM,4.34,3.39,2.17,1.0,1.7,2.41,0.73
Link 4,2019,5,11:00 PM-12:00 AM,3.25,2.37,1.22,0.6,1.48,4.39,0.96
Link 4,2019,3,12:00 AM-01:00 AM,5.74,3.99,3.53,1.6,1.53,10.03,1.38
Link 4,2019,3,05:00 AM-06:00 AM,3.53,2.63,1.63,0.86,1.42,3.03,0.82
Link 4,2019,3,08:00 AM-09:00 AM,4.74,3.16,2.31,0.95,1.62,4.67,1.11
Link 4,2019,3,09:00 AM-10:00 AM,2.9,2.07,1.0,0.52,1.36,2.72,0.72
Link 4,2019,3,08:00 PM-09:00 PM,2.39,1.79,0.58,0.32,1.35,2.55,0.51
Link 4,2019,4,01:00 AM-02:00 AM,2.23,1.73,0.57,0.34,1.29,1.05,0.48
Link 4,2019,4,02:00 AM-03:00 AM,7.87,5.75,5.57,2.42,1.68,9.2,1.34
Link 4,2019,4,11:00 PM-12:00 AM,4.63,3.34,2.39,1.07,1.61,5.17,1.23
Link 4,2019,5,04:00 AM-05:00 AM,2.27,1.7,0.48,0.26,1.34,1.44,0.39
Link 4,2019,5,09:00 PM-10:00 PM,3.01,2.25,1.26,0.72,1.31,2.62,0.59
Link 4,2019,5,01:00 AM-02:00 AM,3.92,2.85,2.05,1.1,1.36,3.46,0.69
Link 4,2019,5,02:00 AM-03:00 AM,8.69,6.65,6.17,2.46,1.92,1.55,0.64
Link 4,2019,3,01:00 AM-02:00 AM,4.13,3.02,2.19,1.13,1.42,1.21,0.36
