LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 3,2019,3,08:00 PM-09:00 PM,2.33,1.66,0.62,0.36,1.22,1.89,0.48,1.71
Link 3,2019,3,09:00 PM-10:00 PM,2.04,1.48,0.38,0.23,1.2,1.76,0.37,1.66
Link 3,2019,3,10:00 PM-11:00 PM,2.14,1.55,0.51,0.32,1.18,1.76,0.37,1.63
Link 3,2019,3,11:00 PM-12:00 AM,2.09,1.51,0.49,0.3,1.16,1.94,0.34,1.6
Link 4,2017,1,12:00 AM-01:00 AM,2.19,1.52,0.53,0.32,1.15,1.87,0.33,1.65
Link 4,2017,1,01:00 AM-02:00 AM,2.64,1.94,0.89,0.51,1.29,2.16,0.5,1.75
Link 4,2017,1,03:00 AM-04:00 AM,2.34,1.75,0.76,0.48,1.18,2.6,0.37,1.58
Link 4,2017,1,05:00 AM-06:00 AM,2.61,1.79,0.81,0.45,1.24,3.25,0.63,1.8
Link 4,2017,1,08:00 AM-09:00 AM,2.12,1.72,0.64,0.43,1.2,3.39,0.48,1.48
Link 4,2017,1,09:00 AM-10:00 AM,2.53,2.01,0.9,0.55,1.3,4.76,0.76,1.63
Link 4,2017,1,10:00 AM-11:00 AM,3.01,2.33,1.24,0.7,1.37,3.5,0.72,1.77
Link 4,2017,1,11:00 AM-12:00 PM,2.43,1.81,0.73,0.43,1.27,2.83,0.58,1.7
Link 4,2017,1,12:00 PM-01:00 PM,2.53,2.01,0.93,0.58,1.27,2.55,0.59,1.6
Link 4,2017,1,01:00 PM-02:00 PM,2.75,2.07,0.98,0.55,1.34,5.24,0.87,1.77
Link 4,2017,1,02:00 PM-03:00 PM,5.7,4.3,3.74,1.91,1.48,6.55,1.08,1.96
Link 4,2017,1,03:00 PM-04:00 PM,4.72,3.58,2.68,1.31,1.55,5.29,1.16,2.04
Link 4,2017,1,04:00 PM-05:00 PM,3.31,2.51,1.37,0.71,1.47,3.28,0.78,1.94
Link 4,2017,1,05:00 PM-06:00 PM,2.42,1.77,0.76,0.46,1.21,2.21,0.49,1.66
Link 4,2018,4,12:00 AM-01:00 AM,1.92,1.45,0.39,0.25,1.16,1.08,0.34,1.53
Link 4,2018,4,01:00 AM-02:00 AM,2.29,1.67,0.64,0.39,1.21,2.29,0.44,1.65
Link 4,2018,4,04:00 AM-05:00 AM,2.87,2.14,1.15,0.67,1.28,1.89,0.66,1.72
Link 4,2018,4,05:00 AM-06:00 AM,2.75,2.05,1.01,0.58,1.3,3.64,0.79,1.74
Link 4,2018,4,06:00 AM-07:00 AM,6.32,4.61,3.97,1.69,1.72,5.13,1.14,2.35
Link 4,2018,4,07:00 AM-08:00 AM,10.53,7.02,7.32,2.28,2.14,8.74,2.72,3.21
Link 4,2018,4,08:00 AM-09:00 AM,6.32,4.3,3.74,1.45,1.75,7.64,1.77,2.58
Link 4,2018,4,09:00 AM-10:00 AM,4.51,3.22,2.28,1.02,1.59,4.26,1.05,2.23
Link 4,2018,4,10:00 AM-11:00 AM,2.9,2.07,1.08,0.6,1.3,2.57,0.62,1.81
Link 4,2018,4,11:00 AM-12:00 PM,3.16,2.26,1.23,0.64,1.38,2.72,0.72,1.93
Link 4,2018,4,12:00 PM-01:00 PM,2.87,2.05,0.95,0.49,1.37,3.0,0.7,1.92
Link 4,2018,4,01:00 PM-02:00 PM,3.16,2.15,1.21,0.62,1.33,2.42,0.7,1.95
Link 4,2018,4,02:00 PM-03:00 PM,3.72,2.53,1.64,0.79,1.41,3.14,0.8,2.08
Link 4,2018,4,04:00 PM-05:00 PM,4.86,3.16,2.46,1.03,1.56,3.0,1.03,2.4
Link 4,2018,4,08:00 PM-09:00 PM,2.39,1.74,0.71,0.43,1.22,1.75,0.51,1.67
Link 4,2018,1,01:00 AM-02:00 AM,3.01,2.38,1.24,0.7,1.4,16.81,1.25,1.77
Link 4,2018,1,04:00 AM-05:00 AM,6.23,4.65,3.67,1.43,1.92,6.41,1.9,2.57
Link 4,2018,1,09:00 AM-10:00 AM,2.51,2.06,0.78,0.45,1.42,2.58,0.65,1.74
Link 4,2018,1,10:00 AM-11:00 AM,2.69,2.13,0.78,0.41,1.51,2.14,0.49,1.9
Link 4,2018,1,02:00 PM-03:00 PM,3.31,2.63,1.44,0.77,1.49,3.78,0.75,1.87
Link 4,2018,1,03:00 PM-04:00 PM,3.1,2.48,1.41,0.83,1.35,3.95,0.76,1.7
Link 4,2018,1,05:00 PM-06:00 PM,3.35,2.55,1.41,0.73,1.47,3.24,0.87,1.93
Link 4,2018,1,06:00 PM-07:00 PM,2.67,2.02,0.98,0.58,1.28,2.0,0.49,1.69
Link 4,2018,1,08:00 PM-09:00 PM,2.63,2.0,0.91,0.53,1.31,1.68,0.46,1.72
Link 4,2018,1,10:00 PM-11:00 PM,2.14,1.64,0.5,0.3,1.26,2.43,0.49,1.65
Link 4,2018,2,03:00 AM-04:00 AM,2.75,2.06,1.03,0.6,1.29,3.55,0.84,1.72
Link 4,2018,2,04:00 AM-05:00 AM,1.86,1.48,0.35,0.23,1.2,2.17,0.4,1.51
Link 4,2018,2,05:00 AM-06:00 AM,2.58,2.02,0.95,0.58,1.28,3.17,0.67,1.63
Link 4,2018,2,06:00 AM-07:00 AM,3.95,2.95,1.83,0.86,1.58,4.32,0.98,2.12
Link 4,2018,2,07:00 AM-08:00 AM,12.64,8.6,9.44,2.95,2.18,7.37,2.27,3.2
Link 4,2018,2,08:00 AM-09:00 AM,5.75,3.99,3.31,1.35,1.7,4.66,1.28,2.44
Link 4,2018,2,09:00 AM-10:00 AM,3.33,2.43,1.45,0.77,1.37,2.7,0.69,1.88
Link 4,2018,2,10:00 AM-11:00 AM,3.33,2.43,1.37,0.7,1.43,3.23,0.78,1.96
Link 4,2018,2,11:00 AM-12:00 PM,3.33,2.38,1.31,0.65,1.44,3.0,0.7,2.02
Link 4,2018,2,12:00 PM-01:00 PM,3.01,2.15,1.09,0.57,1.37,2.83,0.67,1.92
Link 4,2018,2,01:00 PM-02:00 PM,3.33,2.27,1.38,0.7,1.33,2.48,0.67,1.95
Link 4,2018,2,02:00 PM-03:00 PM,3.33,2.43,1.38,0.71,1.42,2.78,0.73,1.95
Link 4,2018,2,03:00 PM-04:00 PM,3.95,2.63,1.77,0.81,1.46,2.59,0.81,2.18
Link 4,2018,2,04:00 PM-05:00 PM,5.27,3.59,2.98,1.3,1.56,3.43,1.15,2.29
Link 4,2018,2,05:00 PM-06:00 PM,10.53,6.66,7.16,2.13,2.13,6.82,2.55,3.37
Link 4,2018,2,06:00 PM-07:00 PM,3.95,2.82,1.86,0.89,1.49,3.21,0.93,2.09
Link 4,2018,2,07:00 PM-08:00 PM,2.46,1.8,0.62,0.34,1.34,2.27,0.52,1.84
Link 4,2018,2,08:00 PM-09:00 PM,3.32,2.51,1.48,0.8,1.39,4.37,0.97,1.84
Link 4,2018,2,10:00 PM-11:00 PM,2.52,1.85,0.86,0.52,1.22,3.59,0.49,1.66
Link 4,2019,3,12:00 AM-01:00 AM,5.74,3.99,3.52,1.58,1.54,10.64,1.5,2.22
Link 4,2019,3,01:00 AM-02:00 AM,4.29,3.13,2.32,1.18,1.44,1.19,0.35,1.97
Link 4,2019,3,04:00 AM-05:00 AM,3.95,3.06,2.03,1.06,1.48,1.94,0.63,1.92
Link 4,2019,3,06:00 AM-07:00 AM,2.75,2.01,0.93,0.51,1.33,2.89,0.67,1.82
Link 4,2019,3,07:00 AM-08:00 AM,5.74,3.9,3.14,1.21,1.77,4.62,1.38,2.6
Link 4,2019,3,08:00 AM-09:00 AM,4.86,3.24,2.42,0.99,1.63,4.23,1.1,2.44
Link 4,2019,3,09:00 AM-10:00 AM,2.96,2.11,1.05,0.55,1.36,2.91,0.7,1.91
Link 4,2019,3,10:00 AM-11:00 AM,3.01,2.15,1.15,0.62,1.33,2.55,0.65,1.86
Link 4,2019,3,11:00 AM-12:00 PM,3.1,2.21,1.14,0.58,1.4,2.08,0.62,1.96
Link 4,2019,3,12:00 PM-01:00 PM,2.88,2.06,1.04,0.56,1.32,2.89,0.67,1.85
Link 4,2019,3,01:00 PM-02:00 PM,3.07,2.13,1.1,0.56,1.37,2.63,0.79,1.97
Link 4,2019,3,02:00 PM-03:00 PM,3.16,2.15,1.08,0.52,1.41,2.86,0.77,2.08
Link 4,2019,3,03:00 PM-04:00 PM,3.32,2.26,1.31,0.65,1.37,2.37,0.75,2.01
Link 4,2019,3,04:00 PM-05:00 PM,4.21,2.81,1.88,0.81,1.55,2.55,0.95,2.33
Link 4,2019,3,05:00 PM-06:00 PM,6.31,3.9,3.57,1.3,1.69,2.77,1.11,2.74
Link 4,2019,3,06:00 PM-07:00 PM,3.51,2.34,1.5,0.74,1.34,3.61,0.82,2.01
Link 4,2019,3,07:00 PM-08:00 PM,3.32,2.48,1.39,0.72,1.44,3.03,0.85,1.93
Link 4,2019,3,08:00 PM-09:00 PM,2.42,1.8,0.6,0.33,1.36,2.55,0.51,1.82
Link 4,2019,3,09:00 PM-10:00 PM,3.01,2.31,1.21,0.68,1.38,3.78,0.71,1.8
Link 4,2019,3,10:00 PM-11:00 PM,3.26,2.51,1.38,0.73,1.45,2.97,0.8,1.89
