LinkName,Year,Day-of-the-week,Time-of-the-day,PT,PTI,BT,BTI,TTI,L_Skew,L_Var,AvgTT
Link 2,2017,1,12:00 PM-01:00 PM,7.74,5.77,5.1,1.94,1.96,5.23,1.33,2.63
Link 2,2017,1,01:00 PM-02:00 PM,3.31,2.59,1.12,0.51,1.71,2.05,0.81,2.19
Link 2,2017,1,02:00 PM-03:00 PM,4.46,3.54,2.34,1.1,1.69,4.31,1.25,2.12
Link 2,2017,1,03:00 PM-04:00 PM,2.92,2.23,1.12,0.62,1.38,2.67,0.79,1.81
Link 2,2017,1,04:00 PM-05:00 PM,3.7,2.89,1.74,0.89,1.53,5.78,1.17,1.96
Link 2,2017,1,06:00 PM-07:00 PM,7.85,5.52,5.29,2.06,1.8,3.46,1.08,2.56
Link 2,2017,1,08:00 PM-09:00 PM,4.49,3.3,2.21,0.97,1.68,3.31,1.29,2.28
Link 2,2017,1,09:00 PM-10:00 PM,2.3,1.72,0.53,0.3,1.33,1.28,0.53,1.77
Link 2,2018,4,12:00 AM-01:00 AM,2.9,2.17,0.92,0.46,1.48,2.7,0.63,1.99
Link 2,2018,4,01:00 AM-02:00 AM,2.07,1.62,0.5,0.32,1.23,1.41,0.45,1.57
Link 2,2018,4,03:00 AM-04:00 AM,1.97,1.39,0.3,0.18,1.17,1.67,0.35,1.67
Link 2,2018,4,05:00 AM-06:00 AM,4.45,3.18,2.39,1.17,1.47,6.38,1.1,2.05
Link 2,2018,4,06:00 AM-07:00 AM,14.14,10.1,10.65,3.05,2.49,10.08,3.44,3.49
Link 2,2018,4,07:00 AM-08:00 AM,8.13,5.05,5.03,1.62,1.93,3.12,1.42,3.11
Link 2,2018,4,08:00 AM-09:00 AM,6.98,4.34,4.1,1.42,1.79,2.24,1.15,2.88
Link 2,2018,4,09:00 AM-10:00 AM,6.98,4.45,4.27,1.57,1.73,3.58,1.2,2.71
Link 2,2018,4,10:00 AM-11:00 AM,5.24,3.59,2.82,1.16,1.66,4.11,1.24,2.42
