LinkName,Year,Day-of-the-week,Time-of-the-day,MinTT,TT10,TT15,TT25,TT50,AvgTT,TT85,TT90,TT95,MaxTT,StdDev
Link 2,2018,6,08:00 AM-09:00 AM,1.16,1.46,1.53,1.7,2.17,2.63,3.14,3.49,4.83,20.94,2.19
Link 2,2018,6,09:00 AM-10:00 AM,0.94,1.43,1.53,1.65,2.03,2.52,3.14,3.7,5.71,15.71,1.81
Link 2,2018,6,10:00 AM-11:00 AM,1.1,1.43,1.5,1.61,1.93,2.23,2.73,3.01,3.93,15.71,1.32
Link 2,2018,6,11:00 AM-12:00 PM,1.0,1.4,1.46,1.57,1.85,2.22,2.62,3.14,4.49,15.71,1.47
Link 2,2018,6,12:00 PM-01:00 PM,0.92,1.4,1.5,1.57,1.9,2.4,2.86,3.31,4.49,20.94,2.1
Link 2,2018,6,01:00 PM-02:00 PM,0.97,1.4,1.46,1.57,1.9,2.5,2.99,3.7,5.24,20.94,2.26
Link 2,2018,6,02:00 PM-03:00 PM,0.69,1.4,1.43,1.57,1.85,2.42,2.99,3.49,5.24,15.71,1.88
Link 2,2018,6,03:00 PM-04:00 PM,0.91,1.4,1.46,1.57,1.96,2.53,3.14,3.84,5.71,20.94,2.1
Link 2,2018,6,04:00 PM-05:00 PM,0.83,1.5,1.53,1.7,2.09,2.87,3.31,4.49,8.98,20.94,2.61
Link 2,2018,6,05:00 PM-06:00 PM,0.92,1.4,1.46,1.61,2.03,2.86,3.49,4.49,8.98,20.94,2.9
Link 2,2018,6,06:00 PM-07:00 PM,1.16,1.4,1.47,1.62,1.9,2.66,3.49,4.49,6.98,15.71,2.16
Link 2,2018,6,07:00 PM-08:00 PM,1.08,1.33,1.37,1.5,1.8,2.32,3.14,3.7,4.73,15.71,1.76
Link 2,2018,6,08:00 PM-09:00 PM,0.82,1.31,1.37,1.44,1.7,2.37,2.71,3.29,6.86,15.71,2.29
Link 2,2018,6,09:00 PM-10:00 PM,0.74,1.26,1.34,1.46,1.9,2.23,2.99,3.49,4.21,8.98,1.17
Link 2,2018,6,11:00 PM-12:00 AM,0.95,1.4,1.43,1.5,1.63,1.94,2.33,3.07,3.7,4.49,0.72
Link 2,2018,7,12:00 AM-01:00 AM,0.9,1.26,1.33,1.4,1.57,1.58,1.82,1.96,2.06,2.62,0.32
Link 2,2018,7,01:00 AM-02:00 AM,1.14,1.34,1.44,1.5,1.63,1.74,2.17,2.32,2.62,3.14,0.4
Link 2,2018,7,05:00 AM-06:00 AM,1.05,1.35,1.44,1.5,1.7,2.1,2.62,2.99,3.93,10.47,1.37
Link 2,2018,7,06:00 AM-07:00 AM,1.05,1.28,1.34,1.47,1.85,2.14,2.69,3.31,4.49,8.98,1.18
Link 2,2018,7,07:00 AM-08:00 AM,0.91,1.33,1.4,1.46,1.65,1.82,2.17,2.33,3.0,5.24,0.63
Link 2,2018,7,09:00 AM-10:00 AM,0.97,1.28,1.34,1.4,1.7,2.71,2.99,5.33,10.47,15.71,2.94
Link 2,2018,7,11:00 AM-12:00 PM,1.08,1.34,1.37,1.46,1.75,1.96,2.47,2.7,3.12,8.98,0.92
Link 2,2018,7,04:00 PM-05:00 PM,1.08,1.31,1.31,1.4,1.61,2.41,2.61,3.7,6.98,15.71,2.58
Link 2,2018,7,06:00 PM-07:00 PM,0.8,1.34,1.37,1.46,1.75,2.4,2.99,3.4,6.81,15.71,2.12
Link 2,2018,7,07:00 PM-08:00 PM,1.19,1.32,1.34,1.4,1.57,2.38,2.51,3.31,7.85,15.71,2.37
Link 2,2018,7,08:00 PM-09:00 PM,1.05,1.31,1.39,1.43,1.59,2.24,2.56,3.14,3.59,15.71,2.14
Link 2,2018,7,09:00 PM-10:00 PM,1.08,1.38,1.4,1.46,1.65,1.92,2.35,2.6,3.78,4.83,0.81
Link 2,2018,1,12:00 AM-01:00 AM,0.68,1.1,1.2,1.23,1.57,1.57,1.92,2.19,2.53,2.62,0.47
Link 2,2018,1,01:00 AM-02:00 AM,1.16,1.26,1.33,1.39,1.5,2.15,2.46,3.04,4.9,7.85,1.67
Link 2,2018,1,02:00 AM-03:00 AM,1.31,1.4,1.41,1.44,1.57,2.24,1.96,2.02,2.3,15.71,2.88
Link 2,2018,1,05:00 AM-06:00 AM,0.97,1.34,1.37,1.4,1.5,1.7,2.07,2.23,2.49,4.19,0.49
Link 2,2018,1,09:00 AM-10:00 AM,0.98,1.31,1.34,1.46,1.72,2.17,2.51,2.85,5.71,8.98,1.4
Link 2,2018,1,10:00 AM-11:00 AM,1.16,1.28,1.31,1.37,1.65,3.01,2.86,5.88,15.71,20.94,3.95
Link 2,2018,1,11:00 AM-12:00 PM,1.1,1.26,1.27,1.34,1.55,2.19,2.49,2.8,5.71,15.71,2.24
Link 2,2018,1,12:00 PM-01:00 PM,1.12,1.22,1.27,1.4,1.61,2.0,2.33,2.73,3.14,15.71,1.66
Link 2,2018,1,04:00 PM-05:00 PM,0.97,1.21,1.23,1.31,1.53,1.89,2.46,2.86,3.93,8.98,1.03
Link 2,2018,1,05:00 PM-06:00 PM,0.95,1.26,1.28,1.33,1.5,2.34,2.29,2.95,7.96,15.71,2.78
Link 2,2018,1,06:00 PM-07:00 PM,1.12,1.37,1.4,1.46,1.7,2.41,3.28,3.75,6.7,10.47,1.8
Link 2,2018,1,08:00 PM-09:00 PM,0.98,1.31,1.34,1.37,1.57,1.99,2.15,2.58,3.62,10.47,1.51
Link 2,2018,1,09:00 PM-10:00 PM,1.19,1.33,1.37,1.49,1.67,2.32,2.51,2.7,3.31,20.94,2.92
Link 2,2018,2,12:00 AM-01:00 AM,0.92,1.23,1.37,1.4,1.57,1.75,2.04,2.22,2.93,3.93,0.62
Link 2,2018,2,01:00 AM-02:00 AM,1.06,1.21,1.22,1.37,1.63,1.69,1.89,1.95,2.48,3.93,0.58
Link 2,2018,2,06:00 AM-07:00 AM,1.1,1.34,1.37,1.53,1.85,3.23,4.19,5.71,15.71,20.94,3.62
Link 2,2018,2,08:00 AM-09:00 AM,1.03,1.5,1.57,1.7,2.17,2.7,3.49,3.93,5.71,20.94,1.99
Link 2,2018,2,09:00 AM-10:00 AM,0.84,1.46,1.53,1.61,2.03,2.62,3.14,3.93,5.71,20.94,2.34
Link 2,2018,2,10:00 AM-11:00 AM,0.95,1.43,1.46,1.57,1.85,2.36,2.86,3.64,4.78,20.94,1.82
Link 2,2018,2,11:00 AM-12:00 PM,0.64,1.37,1.43,1.57,1.85,2.29,2.7,2.99,4.0,20.94,1.83
Link 2,2018,2,12:00 PM-01:00 PM,1.14,1.43,1.5,1.62,1.9,2.33,2.73,3.31,4.83,15.71,1.51
Link 2,2018,2,03:00 PM-04:00 PM,0.92,1.4,1.46,1.57,1.9,2.4,2.86,3.31,4.95,15.71,1.85
Link 2,2018,2,04:00 PM-05:00 PM,0.97,1.43,1.5,1.61,2.03,2.75,3.49,4.19,6.28,20.94,2.4
Link 2,2018,3,01:00 AM-02:00 AM,1.1,1.23,1.27,1.34,1.5,2.58,4.61,4.83,9.65,15.71,2.83
Link 2,2018,3,02:00 AM-03:00 AM,1.23,1.37,1.43,1.5,1.57,3.29,4.49,7.85,12.57,15.71,3.85
Link 2,2018,3,04:00 AM-05:00 AM,1.28,1.34,1.37,1.46,1.61,1.89,1.9,2.12,2.86,10.47,1.28
Link 2,2018,3,06:00 AM-07:00 AM,1.16,1.4,1.43,1.57,2.17,3.44,4.49,7.5,12.57,20.94,3.56
Link 2,2018,4,04:00 AM-05:00 AM,1.19,1.38,1.43,1.5,1.61,2.15,2.17,2.48,4.06,15.71,2.1
Link 2,2018,5,03:00 AM-04:00 AM,1.21,1.25,1.34,1.43,1.7,1.69,2.01,2.14,2.17,2.51,0.34
Link 2,2018,5,10:00 PM-11:00 PM,0.91,1.28,1.34,1.43,1.7,2.08,2.86,3.19,4.19,8.98,1.12
Link 2,2018,6,04:00 AM-05:00 AM,1.26,1.34,1.38,1.5,1.67,2.03,2.13,2.43,3.28,10.47,1.44
Link 2,2018,7,04:00 AM-05:00 AM,1.06,1.31,1.41,1.5,1.61,1.77,2.17,2.51,2.62,2.86,0.43
Link 2,2018,7,08:00 AM-09:00 AM,0.97,1.26,1.31,1.4,1.65,1.99,2.24,2.62,4.91,8.98,1.34
Link 2,2018,7,10:00 AM-11:00 AM,1.19,1.31,1.34,1.4,1.65,2.23,2.86,3.57,4.64,12.57,1.64
Link 2,2018,7,12:00 PM-01:00 PM,1.08,1.31,1.37,1.46,1.8,2.33,2.51,3.13,6.92,10.47,1.88
Link 2,2018,7,01:00 PM-02:00 PM,1.14,1.33,1.37,1.43,1.7,2.51,2.63,2.99,7.07,15.71,2.75
Link 2,2018,7,03:00 PM-04:00 PM,0.86,1.28,1.34,1.43,1.61,2.2,2.51,2.95,3.87,15.71,2.13
Link 2,2018,7,11:00 PM-12:00 AM,1.21,1.37,1.42,1.52,1.8,1.85,2.38,2.62,2.8,2.86,0.45
Link 2,2018,1,04:00 AM-05:00 AM,1.34,1.53,1.59,1.67,1.85,2.53,3.84,4.19,5.24,6.28,1.45
Link 2,2018,1,06:00 AM-07:00 AM,1.05,1.23,1.26,1.42,1.57,1.86,2.17,2.24,2.76,7.85,1.06
Link 2,2018,1,07:00 AM-08:00 AM,0.8,1.21,1.26,1.4,1.57,2.1,2.07,2.43,3.93,15.71,2.24
Link 2,2018,1,08:00 AM-09:00 AM,0.98,1.26,1.31,1.37,1.5,2.01,2.03,2.33,2.65,15.71,2.21
Link 2,2018,1,01:00 PM-02:00 PM,1.0,1.31,1.34,1.4,1.57,1.79,2.24,2.52,2.93,4.49,0.65
Link 2,2018,1,02:00 PM-03:00 PM,0.91,1.23,1.26,1.31,1.53,1.99,2.06,2.48,3.12,15.71,1.96
Link 2,2018,1,03:00 PM-04:00 PM,0.97,1.21,1.3,1.37,1.53,2.04,2.26,2.51,3.31,20.94,2.22
Link 2,2018,1,07:00 PM-08:00 PM,1.12,1.31,1.34,1.37,1.5,1.9,2.03,2.15,2.33,20.94,2.27
Link 2,2018,1,10:00 PM-11:00 PM,0.85,1.16,1.26,1.4,1.75,1.86,2.33,2.86,3.49,4.19,0.7
Link 2,2018,1,11:00 PM-12:00 AM,1.01,1.36,1.43,1.5,1.7,2.06,2.15,2.43,2.76,12.57,1.82
Link 2,2018,2,10:00 PM-11:00 PM,1.12,1.28,1.34,1.43,1.61,2.55,3.49,3.93,6.98,20.94,2.81
Link 2,2018,2,11:00 PM-12:00 AM,1.06,1.26,1.31,1.38,1.67,2.64,3.96,5.01,6.55,15.71,2.77
Link 2,2018,4,03:00 AM-04:00 AM,1.34,1.4,1.4,1.43,1.59,1.66,1.96,1.96,1.97,2.09,0.23
Link 2,2018,5,12:00 AM-01:00 AM,1.19,1.31,1.37,1.43,1.7,2.45,2.42,2.86,3.31,15.71,3.01
Link 2,2018,7,03:00 AM-04:00 AM,1.31,1.36,1.4,1.61,1.65,1.7,2.03,2.15,2.17,2.17,0.26
Link 2,2018,7,02:00 PM-03:00 PM,0.73,1.26,1.33,1.43,1.7,2.28,2.86,3.31,5.24,15.71,1.96
Link 2,2018,7,05:00 PM-06:00 PM,0.86,1.23,1.26,1.37,1.57,2.19,2.33,2.62,4.07,20.94,2.59
Link 2,2018,7,10:00 PM-11:00 PM,1.14,1.31,1.41,1.48,1.9,2.03,2.86,2.99,3.33,4.19,0.69
Link 2,2018,2,02:00 AM-03:00 AM,1.37,1.46,1.49,1.5,1.61,2.35,1.86,2.12,5.9,10.47,2.46
Link 2,2018,2,04:00 AM-05:00 AM,1.26,1.39,1.44,1.5,1.65,2.49,2.33,3.36,5.36,20.94,2.98
Link 2,2018,3,12:00 AM-01:00 AM,0.79,1.18,1.25,1.32,1.59,2.06,2.06,2.57,4.49,8.98,1.78
Link 2,2018,4,02:00 AM-03:00 AM,1.14,1.34,1.37,1.46,1.65,1.95,1.89,1.95,2.16,8.98,1.55
Link 2,2018,7,02:00 AM-03:00 AM,1.1,1.23,1.26,1.42,1.57,1.69,2.13,2.51,2.68,2.86,0.46
Link 2,2018,3,03:00 AM-04:00 AM,1.28,1.5,1.5,1.61,1.7,1.84,1.96,1.96,2.42,4.49,0.64
Link 2,2018,5,02:00 AM-03:00 AM,1.14,1.37,1.45,1.57,1.63,2.79,2.2,3.75,11.78,15.71,3.49
Link 2,2018,6,02:00 AM-03:00 AM,1.23,1.43,1.53,1.6,1.83,2.24,2.62,3.26,4.61,5.71,1.05
Link 2,2018,6,10:00 PM-11:00 PM,0.71,1.27,1.31,1.42,1.75,2.12,2.51,2.94,4.01,12.57,1.59
Link 2,2018,1,03:00 AM-04:00 AM,1.14,1.26,1.26,1.31,1.46,1.5,1.72,1.78,1.82,1.85,0.22
Link 2,2018,2,03:00 AM-04:00 AM,1.31,1.38,1.4,1.43,1.53,1.95,2.16,2.4,3.4,6.98,1.3
Link 2,2019,3,04:00 AM-05:00 AM,1.08,1.34,1.39,1.49,1.61,2.32,2.09,2.32,5.75,20.92,2.77
Link 2,2019,3,05:00 AM-06:00 AM,1.1,1.34,1.39,1.53,1.88,3.07,3.93,6.59,10.46,15.69,3.15
Link 2,2019,3,07:00 AM-08:00 AM,1.26,1.61,1.7,1.9,2.32,2.91,3.69,4.48,6.28,20.92,1.99
Link 2,2019,3,09:00 AM-10:00 AM,0.65,1.43,1.51,1.65,2.09,2.78,3.69,4.48,7.84,15.69,2.23
Link 2,2019,3,10:00 AM-11:00 AM,1.08,1.46,1.49,1.61,1.96,2.45,2.99,3.69,4.48,15.69,1.91
Link 2,2019,3,11:00 AM-12:00 PM,1.06,1.36,1.43,1.57,1.9,2.4,3.07,3.49,5.23,15.69,1.72
Link 2,2019,3,01:00 PM-02:00 PM,1.14,1.39,1.49,1.61,2.02,2.68,3.49,3.92,5.82,20.92,2.28
Link 2,2019,3,02:00 PM-03:00 PM,1.05,1.46,1.56,1.65,2.09,2.58,3.14,3.34,4.83,20.92,2.21
Link 2,2019,3,03:00 PM-04:00 PM,1.05,1.43,1.49,1.61,2.02,2.59,3.3,3.92,5.71,15.69,1.96
Link 2,2019,3,04:00 PM-05:00 PM,1.14,1.43,1.49,1.61,2.02,2.74,3.49,3.92,6.28,20.92,2.38
Link 2,2019,3,05:00 PM-06:00 PM,1.05,1.46,1.53,1.7,2.16,3.16,4.18,5.71,8.97,20.92,2.94
Link 2,2019,3,06:00 PM-07:00 PM,1.16,1.48,1.53,1.7,2.24,3.5,4.13,6.42,15.69,20.92,3.67
Link 2,2019,3,07:00 PM-08:00 PM,1.16,1.46,1.53,1.65,1.99,2.92,4.18,5.71,8.97,15.69,2.56
Link 2,2019,3,08:00 PM-09:00 PM,1.14,1.34,1.42,1.53,1.96,2.88,2.99,4.87,9.15,15.69,3.03
Link 2,2019,3,09:00 PM-10:00 PM,1.18,1.36,1.43,1.57,1.9,2.39,2.85,3.43,4.48,15.69,1.82
Link 2,2019,4,05:00 AM-06:00 AM,0.78,1.22,1.36,1.47,1.7,2.7,3.49,5.03,7.62,20.92,2.98
Link 2,2019,4,06:00 AM-07:00 AM,1.16,1.36,1.43,1.57,1.85,2.74,3.3,4.18,6.97,20.92,2.71
Link 2,2019,4,07:00 AM-08:00 AM,0.72,1.61,1.7,1.9,2.41,2.86,3.49,3.92,5.8,20.92,2.09
Link 2,2019,4,08:00 AM-09:00 AM,1.14,1.57,1.65,1.85,2.41,2.96,3.69,4.48,6.49,20.92,2.29
Link 2,2019,4,09:00 AM-10:00 AM,1.01,1.46,1.57,1.7,2.09,2.89,3.69,4.83,7.84,20.92,2.54
Link 2,2019,4,10:00 AM-11:00 AM,1.14,1.46,1.52,1.61,1.96,2.37,2.75,3.14,4.5,15.69,1.73
Link 2,2019,4,11:00 AM-12:00 PM,1.21,1.43,1.49,1.61,1.96,2.46,2.99,3.4,5.23,15.69,1.98
Link 2,2019,4,12:00 PM-01:00 PM,0.8,1.39,1.46,1.61,1.9,2.52,2.99,3.69,5.25,20.92,2.14
Link 2,2019,4,01:00 PM-02:00 PM,0.88,1.39,1.46,1.57,1.96,2.61,2.99,4.18,6.28,20.92,2.43
Link 2,2019,4,02:00 PM-03:00 PM,0.97,1.43,1.49,1.61,2.09,2.53,3.14,3.74,5.71,15.69,1.79
Link 2,2019,4,03:00 PM-04:00 PM,1.1,1.39,1.46,1.61,2.02,2.56,3.14,3.92,5.71,15.69,1.96
Link 2,2019,4,04:00 PM-05:00 PM,1.21,1.48,1.53,1.7,2.16,2.77,3.69,4.48,5.71,20.92,2.16
Link 2,2019,4,05:00 PM-06:00 PM,1.08,1.53,1.61,1.79,2.32,3.28,4.18,5.71,8.97,20.92,3.07
Link 2,2019,4,06:00 PM-07:00 PM,1.1,1.49,1.57,1.7,2.16,3.34,4.83,6.97,10.46,20.92,3.21
Link 2,2019,4,07:00 PM-08:00 PM,1.01,1.34,1.43,1.57,2.16,2.92,3.53,4.76,7.32,15.69,2.75
Link 2,2019,4,08:00 PM-09:00 PM,0.79,1.34,1.39,1.49,1.79,2.68,3.55,4.69,8.74,15.69,2.53
Link 2,2019,4,09:00 PM-10:00 PM,1.12,1.34,1.43,1.57,1.96,2.77,4.18,5.36,8.97,12.55,2.21
Link 2,2019,4,10:00 PM-11:00 PM,1.23,1.49,1.53,1.64,2.09,3.6,5.23,7.58,13.96,20.92,3.92
Link 2,2019,5,03:00 AM-04:00 AM,1.34,1.49,1.53,1.61,1.74,2.78,2.9,4.36,8.14,15.69,3.06
Link 2,2019,5,04:00 AM-05:00 AM,1.21,1.39,1.46,1.57,1.65,2.18,2.02,2.29,5.71,12.55,1.98
Link 2,2019,5,06:00 AM-07:00 AM,1.12,1.39,1.43,1.54,2.09,2.95,3.98,5.23,8.97,20.92,2.68
Link 2,2019,5,07:00 AM-08:00 AM,1.14,1.57,1.65,1.85,2.32,3.03,3.92,5.23,6.97,20.92,2.36
Link 2,2019,5,08:00 AM-09:00 AM,1.05,1.57,1.66,1.9,2.41,3.06,3.92,4.83,6.97,20.92,2.5
Link 2,2019,5,09:00 AM-10:00 AM,0.87,1.46,1.55,1.74,2.16,2.84,3.3,4.48,6.97,20.92,2.45
Link 2,2019,5,10:00 AM-11:00 AM,1.14,1.43,1.49,1.65,2.02,2.44,2.85,3.14,4.48,20.92,2.03
Link 2,2019,5,11:00 AM-12:00 PM,1.1,1.39,1.46,1.57,1.96,2.5,2.99,3.49,5.52,20.92,2.12
Link 2,2019,5,12:00 PM-01:00 PM,1.16,1.39,1.46,1.54,1.96,2.55,3.06,3.92,5.8,20.92,2.22
Link 2,2019,5,01:00 PM-02:00 PM,1.05,1.43,1.49,1.63,2.02,2.52,3.3,3.69,4.87,20.92,1.91
Link 2,2019,5,02:00 PM-03:00 PM,0.95,1.39,1.46,1.58,2.02,2.49,3.14,3.49,5.3,15.69,1.82
Link 2,2019,5,03:00 PM-04:00 PM,1.03,1.43,1.49,1.61,1.96,2.49,3.14,3.69,5.23,20.92,1.89
Link 2,2019,5,04:00 PM-05:00 PM,1.14,1.49,1.54,1.7,2.24,2.86,3.49,4.48,6.28,20.92,2.42
Link 2,2019,5,05:00 PM-06:00 PM,1.08,1.53,1.63,1.9,2.56,3.52,5.01,6.28,8.97,20.92,3.09
Link 2,2019,5,06:00 PM-07:00 PM,1.1,1.46,1.57,1.7,2.32,3.24,5.23,5.71,8.97,15.69,2.73
Link 2,2019,5,07:00 PM-08:00 PM,0.92,1.39,1.46,1.53,1.96,2.91,3.69,4.55,10.46,20.92,2.94
Link 2,2019,5,08:00 PM-09:00 PM,1.18,1.44,1.54,1.7,2.09,2.94,4.1,6.17,7.84,15.69,2.39
Link 2,2019,5,09:00 PM-10:00 PM,1.14,1.43,1.49,1.65,2.16,3.6,5.14,8.86,12.55,15.69,3.62
Link 2,2019,5,11:00 PM-12:00 AM,1.21,1.36,1.44,1.69,2.16,4.59,8.97,10.46,15.95,20.92,5.0
Link 2,2019,6,12:00 AM-01:00 AM,1.26,1.46,1.46,1.61,2.02,3.54,7.37,8.97,8.97,12.55,2.96
Link 2,2019,6,03:00 AM-04:00 AM,1.21,1.36,1.39,1.52,1.66,2.37,2.85,3.16,4.49,12.55,2.2
Link 2,2019,6,04:00 AM-05:00 AM,1.1,1.36,1.49,1.53,1.7,2.59,2.28,4.03,10.46,15.69,2.78
Link 2,2019,6,05:00 AM-06:00 AM,1.18,1.34,1.39,1.46,1.7,2.78,3.92,4.73,7.95,15.69,2.76
Link 2,2019,6,06:00 AM-07:00 AM,1.1,1.36,1.46,1.57,2.02,2.97,4.0,5.23,7.84,20.92,2.94
Link 2,2019,6,07:00 AM-08:00 AM,1.26,1.57,1.61,1.79,2.32,2.82,3.49,4.48,5.71,20.92,2.14
Link 2,2019,6,08:00 AM-09:00 AM,1.12,1.51,1.57,1.79,2.24,2.67,3.3,3.92,5.23,20.92,1.95
Link 2,2019,6,09:00 AM-10:00 AM,1.14,1.43,1.49,1.61,1.96,2.71,3.3,4.18,5.96,20.92,2.5
Link 2,2019,6,10:00 AM-11:00 AM,1.08,1.39,1.46,1.57,1.96,2.39,2.99,3.3,4.18,20.92,1.91
Link 2,2019,6,11:00 AM-12:00 PM,1.12,1.46,1.49,1.65,1.96,2.42,2.85,3.3,5.4,15.69,1.83
Link 2,2019,6,12:00 PM-01:00 PM,1.03,1.46,1.53,1.65,1.96,2.58,3.3,3.92,5.71,15.69,2.09
Link 2,2019,6,01:00 PM-02:00 PM,0.95,1.45,1.49,1.7,2.09,2.77,3.32,3.92,5.71,20.92,2.54
Link 2,2019,6,02:00 PM-03:00 PM,0.65,1.46,1.53,1.65,2.09,2.53,3.14,3.51,4.5,15.69,1.84
Link 2,2019,6,03:00 PM-04:00 PM,0.86,1.43,1.49,1.61,2.02,2.5,3.14,3.69,5.71,15.69,1.78
Link 2,2019,6,04:00 PM-05:00 PM,1.18,1.41,1.49,1.7,2.24,2.71,3.49,4.48,5.82,15.69,1.85
Link 2,2019,6,05:00 PM-06:00 PM,1.01,1.46,1.53,1.7,2.16,3.06,4.18,5.23,8.97,15.69,2.61
Link 2,2019,6,06:00 PM-07:00 PM,1.1,1.41,1.46,1.61,2.02,2.87,3.69,4.83,8.12,15.69,2.44
Link 2,2019,6,07:00 PM-08:00 PM,1.1,1.48,1.53,1.61,1.96,2.91,3.69,4.83,10.09,15.69,2.78
Link 2,2019,6,08:00 PM-09:00 PM,1.23,1.43,1.49,1.61,2.09,3.26,4.4,6.0,10.98,20.92,3.35
Link 2,2019,6,09:00 PM-10:00 PM,1.12,1.46,1.53,1.65,2.09,2.9,3.9,4.7,6.97,15.69,2.6
Link 2,2019,6,10:00 PM-11:00 PM,1.23,1.39,1.46,1.57,2.02,3.78,6.28,8.41,13.34,20.92,4.12
Link 2,2019,7,02:00 AM-03:00 AM,1.36,1.43,1.46,1.49,1.8,2.69,3.39,4.21,6.49,15.69,2.65
Link 2,2019,7,04:00 AM-05:00 AM,1.12,1.38,1.46,1.55,1.7,2.21,2.99,3.3,4.67,6.28,1.15
Link 2,2019,7,05:00 AM-06:00 AM,1.21,1.34,1.43,1.49,1.74,2.64,2.41,3.25,6.25,15.69,3.09
Link 2,2019,7,06:00 AM-07:00 AM,1.14,1.34,1.39,1.5,1.74,2.05,2.59,2.85,3.68,10.46,1.11
Link 2,2019,7,07:00 AM-08:00 AM,1.18,1.39,1.43,1.49,1.74,1.98,2.51,2.85,3.14,6.97,0.8
Link 2,2019,7,08:00 AM-09:00 AM,1.08,1.28,1.34,1.43,1.7,2.31,2.61,2.85,5.46,20.92,2.27
Link 2,2019,7,09:00 AM-10:00 AM,1.12,1.26,1.31,1.43,1.65,2.66,2.83,4.55,10.46,20.92,2.97
Link 2,2019,7,10:00 AM-11:00 AM,1.05,1.28,1.35,1.43,1.7,2.47,2.79,3.92,8.41,15.69,2.45
Link 2,2019,7,11:00 AM-12:00 PM,1.05,1.31,1.34,1.43,1.7,2.27,2.65,3.02,4.87,15.69,1.88
Link 2,2019,7,12:00 PM-01:00 PM,0.77,1.34,1.46,1.53,1.79,2.58,2.99,3.69,6.69,20.92,2.55
Link 2,2019,7,01:00 PM-02:00 PM,1.21,1.34,1.34,1.4,1.7,2.18,2.51,2.85,4.81,15.69,1.76
Link 2,2019,7,02:00 PM-03:00 PM,1.08,1.31,1.35,1.46,1.79,2.6,3.11,3.92,6.28,15.69,2.6
Link 2,2019,7,03:00 PM-04:00 PM,1.21,1.34,1.41,1.57,1.74,2.52,3.07,3.92,6.28,15.69,2.25
Link 2,2019,7,04:00 PM-05:00 PM,1.16,1.34,1.38,1.49,1.79,2.64,2.99,3.93,8.47,20.92,2.81
Link 2,2019,7,05:00 PM-06:00 PM,1.01,1.36,1.41,1.53,1.9,3.03,5.05,6.97,8.8,20.92,3.0
Link 2,2019,7,06:00 PM-07:00 PM,1.12,1.39,1.43,1.53,1.85,2.75,3.49,6.59,8.97,15.69,2.45
Link 2,2019,7,07:00 PM-08:00 PM,1.06,1.34,1.39,1.49,1.9,2.66,2.97,4.15,8.91,15.69,2.53
Link 2,2019,7,08:00 PM-09:00 PM,1.1,1.39,1.43,1.46,1.85,3.37,5.33,6.83,12.55,20.92,3.98
Link 2,2019,7,09:00 PM-10:00 PM,1.14,1.29,1.35,1.43,1.85,3.05,4.01,5.36,10.46,15.69,3.37
Link 2,2019,7,11:00 PM-12:00 AM,1.28,1.48,1.51,1.61,1.85,3.54,6.4,9.42,11.24,15.69,3.75
Link 2,2019,1,12:00 AM-01:00 AM,1.05,1.27,1.28,1.44,1.61,2.27,2.32,2.45,5.54,12.55,2.22
Link 2,2019,1,05:00 AM-06:00 AM,0.97,1.18,1.2,1.33,1.57,4.38,10.46,12.55,15.69,20.92,5.08
Link 2,2019,1,06:00 AM-07:00 AM,1.01,1.23,1.24,1.35,1.59,3.04,5.71,6.9,8.91,12.55,2.74
Link 2,2019,1,07:00 AM-08:00 AM,1.1,1.28,1.31,1.36,1.57,1.99,2.28,2.61,4.35,8.97,1.41
Link 2,2019,1,08:00 AM-09:00 AM,1.12,1.24,1.26,1.36,1.61,2.16,2.16,2.94,4.6,15.69,2.13
Link 2,2019,1,09:00 AM-10:00 AM,1.03,1.26,1.26,1.34,1.61,2.47,3.12,4.42,6.97,15.69,2.25
Link 2,2019,1,10:00 AM-11:00 AM,1.06,1.21,1.23,1.34,1.7,2.9,2.99,5.86,12.55,20.92,3.43
Link 2,2019,1,11:00 AM-12:00 PM,1.05,1.21,1.23,1.34,1.61,2.4,2.85,3.69,5.23,20.92,2.72
Link 2,2019,1,01:00 PM-02:00 PM,1.14,1.34,1.36,1.44,1.7,2.35,2.61,3.02,5.28,15.69,2.23
Link 2,2019,1,02:00 PM-03:00 PM,1.14,1.31,1.32,1.39,1.74,2.7,3.3,3.69,9.94,15.69,3.0
Link 2,2019,1,03:00 PM-04:00 PM,1.1,1.26,1.28,1.36,1.72,2.27,2.93,3.49,5.64,15.69,1.9
Link 2,2019,1,04:00 PM-05:00 PM,1.16,1.26,1.3,1.39,1.7,2.12,2.56,2.85,4.05,12.55,1.53
Link 2,2019,1,05:00 PM-06:00 PM,1.05,1.36,1.39,1.51,1.9,3.11,4.51,6.97,8.97,20.92,3.3
Link 2,2019,1,06:00 PM-07:00 PM,0.88,1.31,1.39,1.49,1.9,3.42,6.28,6.97,10.46,15.69,3.34
Link 2,2019,1,07:00 PM-08:00 PM,1.08,1.37,1.43,1.53,1.85,3.44,5.93,9.86,12.55,20.92,3.8
Link 2,2019,1,08:00 PM-09:00 PM,1.01,1.36,1.39,1.48,1.9,3.44,6.97,8.97,10.46,15.69,3.49
Link 2,2019,1,09:00 PM-10:00 PM,1.16,1.3,1.36,1.49,1.67,2.53,2.61,3.31,8.09,15.69,2.64
